Source.Name	Comment.ENA_SAMPLE.	Characteristics.Organism.	Characteristics.Strain.	Characteristics.population.	Comment.1000g.Phase1.Genotypes.	Factor.Value.laboratory.
HG00096	HG00096	ERS185276	Homo sapiens	lymphoblastoid cell line	GBR	1	1
HG00097	HG00097	ERS185206	Homo sapiens	lymphoblastoid cell line	GBR	1	7
HG00099	HG00099	ERS185128	Homo sapiens	lymphoblastoid cell line	GBR	1	5
HG00100	HG00100	ERS185086	Homo sapiens	lymphoblastoid cell line	GBR	1	2
HG00101	HG00101	ERS185085	Homo sapiens	lymphoblastoid cell line	GBR	1	1
HG00102	HG00102	ERS185453	Homo sapiens	lymphoblastoid cell line	GBR	1	3
HG00103	HG00103	ERS185490	Homo sapiens	lymphoblastoid cell line	GBR	1	4
HG00104	HG00104	ERS185300	Homo sapiens	lymphoblastoid cell line	GBR	1	1
HG00105	HG00105	ERS185272	Homo sapiens	lymphoblastoid cell line	GBR	0	3
HG00106	HG00106	ERS185411	Homo sapiens	lymphoblastoid cell line	GBR	1	4
HG00108	HG00108	ERS185074	Homo sapiens	lymphoblastoid cell line	GBR	1	7
HG00109	HG00109	ERS185395	Homo sapiens	lymphoblastoid cell line	GBR	1	3
HG00110	HG00110	ERS185368	Homo sapiens	lymphoblastoid cell line	GBR	1	2
HG00111	HG00111	ERS185191	Homo sapiens	lymphoblastoid cell line	GBR	1	2
HG00112	HG00112	ERS185175	Homo sapiens	lymphoblastoid cell line	GBR	1	6
HG00114	HG00114	ERS185155	Homo sapiens	lymphoblastoid cell line	GBR	1	6
HG00115	HG00115	ERS185464	Homo sapiens	lymphoblastoid cell line	GBR	0	6
HG00116	HG00116	ERS185035	Homo sapiens	lymphoblastoid cell line	GBR	1	2
HG00117	HG00117	ERS185322	Homo sapiens	lymphoblastoid cell line	GBR	1	1
HG00118	HG00118	ERS185083	Homo sapiens	lymphoblastoid cell line	GBR	1	4
HG00119	HG00119	ERS185402	Homo sapiens	lymphoblastoid cell line	GBR	1	2
HG00120	HG00120	ERS185405	Homo sapiens	lymphoblastoid cell line	GBR	1	3
HG00121	HG00121	ERS185241	Homo sapiens	lymphoblastoid cell line	GBR	1	1
HG00122	HG00122	ERS185162	Homo sapiens	lymphoblastoid cell line	GBR	1	6
HG00123	HG00123	ERS185352	Homo sapiens	lymphoblastoid cell line	GBR	1	4
