UniqueCount	AmbigCount
0	0
0	0
0	0
0	1
1	7
1	0
0	0
3	14
7	0
0	0
0	0
1	0
1	1
0	0
4	3
0	68
0	78
0	0
94	89
0	106
0	0
0	5
0	2
0	0
917	0
0	0
18	0
6	0
0	8
0	10
0	12
0	19
110	206
0	130
5513	0
161	0
0	19
1313	0
276	0
32	0
510	0
560	0
51	0
1	0
14	0
75	0
11	0
4	0
3	1
0	1
4	8
4	13
0	13
8	0
8	2
0	0
5256	0
10	143
28	0
10	41
48	1
15	56
7	0
3	0
7	11
0	283
4	19
675	0
0	12
8	0
105	1
0	0
831	314
0	0
130	0
3906	0
59	26
63	0
5	3
1	1
0	0
3860	0
189	0
386	0
25	0
544	0
108	0
316	0
66	256
0	256
37	0
0	140
13	148
1	169
0	154
18	148
0	139
6	1345
89	0
689	0
91	0
2	84
108	84
561	0
1127	0
203	0
3915	0
5	5
0	5
0	3
14	0
0	0
2	0
1	0
5	0
0	0
2	107
9	107
2	130
0	130
0	56
0	0
0	0
1058	1
12	0
240	0
4	0
145	0
232	0
0	0
3	0
101	0
27	0
17	0
20	0
4	27
0	27
67	37
0	37
1696	0
810	0
137	0
8	1680
106	1680
2	0
0	0
1	0
1134	0
63	0
7	0
3	0
71	5
0	5
8	90
0	90
11	90
181	0
425	495
0	495
6	114
13	114
79	0
10	245
16	245
2	54
6	0
588	0
149	624
0	624
0	420
0	498
238	0
0	5
0	5
4	4
18	70
0	62
383	0
10	14
0	14
0	14
30	0
1628	0
0	219
546	685
0	685
505	0
486	108
0	127
0	80
2	109
296	0
2	0
90	460
6	384
0	460
402	0
12	0
15	104
0	104
448	0
181	0
296	730
0	730
329	0
9	320
179	320
203	0
1516	0
100	808
210	804
4	685
266	0
0	89
0	126
0	62
135	157
0	121
0	157
0	78
1739	1032
0	1032
391	0
0	153
12	153
9	197
7	240
0	162
20	0
22	219
0	219
0	199
152	0
384	0
45	0
80	46
0	39
0	46
30	0
9	0
0	0
0	70
0	0
8	7
191	0
4	0
6	0
1	8
1	0
0	0
5	1
0	3
22	0
1	0
4	0
2	0
7	0
0	0
4	2
0	0
0	0
1	0
7	0
42	1226
16	1101
49	988
6	8
1	0
5	54
0	0
0	0
21	0
0	2
22	0
1	0
563	0
134	107
0	107
448	0
98	940
0	940
7	0
5	2
15	0
1	0
6	0
416	0
786	0
97	0
230	0
1	0
233	0
837	0
77	29
4	29
10	154
8	126
0	155
0	62
258	116
0	0
1	2
1006	0
0	0
17	0
0	0
2	0
0	2
360	4
84	0
17	0
0	0
0	0
4	0
0	0
2	0
8	0
0	0
1	9
0	0
0	1
1	4
0	0
0	0
0	0
0	0
0	0
11	0
190	2
1	0
