UniqueCount	AmbigCount
0	0
0	0
0	0
1	0
0	3
0	0
0	0
1	17
0	0
0	3
0	0
0	0
0	0
0	0
4	3
0	56
0	90
0	0
108	152
2	93
0	0
0	1
0	0
0	0
825	0
0	0
12	0
5	0
0	7
0	8
0	10
0	10
84	212
0	88
4146	0
63	0
0	31
1293	0
157	0
23	0
410	0
467	0
55	0
1	0
8	0
43	0
15	0
2	0
2	2
0	2
4	8
1	3
0	3
7	0
5	1
1	0
3625	0
4	106
21	0
13	33
50	0
6	34
0	0
4	0
9	17
0	159
2	20
412	0
0	17
9	0
65	0
0	0
672	232
2	0
60	0
3680	0
22	16
29	0
4	4
0	0
0	0
2904	0
141	0
294	0
44	0
350	0
77	0
360	0
25	183
0	183
25	0
0	87
9	93
0	100
0	96
27	93
0	87
4	715
111	0
560	0
159	0
1	48
77	48
329	0
907	0
36	0
2780	0
6	11
0	11
0	9
9	0
1	0
1	0
1	0
1	0
0	0
1	50
1	50
0	62
0	62
1	26
0	0
0	0
720	0
6	0
242	0
2	0
100	0
203	0
0	0
1	0
21	0
10	0
7	0
11	0
0	21
0	21
73	89
0	89
2564	0
855	0
84	0
3	1040
77	1040
0	0
0	0
0	0
780	0
35	0
0	0
2	0
28	5
0	5
1	48
0	48
10	47
172	0
197	231
0	231
4	52
6	52
44	0
3	148
8	148
0	25
1	0
397	0
63	311
0	311
0	212
0	249
195	0
0	4
0	4
8	0
7	40
0	38
253	0
0	5
0	5
1	5
9	0
1271	0
3	159
349	468
0	468
271	0
375	91
0	108
0	54
0	86
199	0
2	0
91	253
2	198
0	253
291	0
23	0
5	76
0	76
245	0
100	0
284	615
0	615
312	0
21	181
127	181
190	0
934	0
67	691
182	691
2	552
271	0
0	98
0	126
0	83
176	143
0	123
0	143
0	90
1327	1065
0	1065
312	0
0	122
22	122
11	145
3	174
0	114
15	0
5	102
0	102
0	87
85	0
256	0
27	0
58	43
0	30
0	43
23	0
2	0
2	0
0	27
0	0
3	0
107	0
8	0
4	0
0	12
0	0
0	0
1	7
2	3
24	0
2	0
1	0
1	0
2	0
2	0
2	4
0	0
0	0
0	0
1	0
41	1198
12	1066
53	1026
1	1
0	0
6	63
0	0
0	0
14	0
1	2
9	0
3	0
508	0
155	143
0	143
236	0
132	641
0	641
1	0
1	0
7	0
0	0
1	0
282	0
463	0
108	0
278	0
0	0
172	0
1617	0
64	23
0	23
2	99
10	78
0	103
1	72
181	77
0	0
0	2
1041	0
1	0
9	0
0	0
0	0
0	5
368	2
67	0
8	0
0	0
0	0
3	0
0	0
1	0
12	0
0	0
0	9
0	0
2	0
1	1
0	0
3	0
0	0
0	0
0	0
13	0
153	0
1	0
64	0
