UniqueCount	AmbigCount
387102	6
27	72
401	0
888	2117
25350	323
0	2290
13671	222
499	5648
93382	4
51	121
16185	1
6428	43624
104	2
28117	1
4115	0
195	8768
5	0
21	6
58	101
12703	1
260	0
982	0
2	0
2530	10279
16326	0
12	47602
8	0
5	0
229	0
4	0
1055	2631
11	105
9218	11
4218	15007
3868	0
29163	78108
242	0
20	0
1559	0
5	4
19147	2
14885	348911
34	158419
6877	1
106	235
47	0
1	3384
27	48
0	0
0	0
15	49
28	0
505	1
132	0
17	0
134	101
367	0
4739	32
110	0
520	4272
1156	5746
0	57458
10281	95765
2093	0
29770	130012
6211	50981
62740	489414
10	6979
2171	13432
668	1890
3	3098
140711	3
391929	7
10	480
46	0
412	0
1	21
324	1482
7479	67732
1062	613
12931	0
126	0
344	0
2790	0
3752	35617
25002	0
2015	16
9131	28079
75	0
2	36287
3	312
16908	0
1628	1
1	3004
373	2476
6143	103750
486	6524
6979	455757
19205	1
255	18
1174	23603
79	5022
100	384
693	3449
7422	198967
0	0
4	0
0	0
0	0
0	5
107	0
2058	0
0	0
1096	0
0	0
0	109
36857	52
7	11
70	1021
16	0
13	47062
681	0
64648	0
0	6322
0	3602
1243	1992
230	4612
85	0
391	0
2224	14873
119	0
174	12307
257	2475
27303	2
871	1294
0	0
1266	9087
1349	0
19373	0
18330	54
5727	13919
0	27392
0	4032
106	2009
4046	0
222	10897
0	20
60	1549
0	5790
194	1881
0	728
5979	19910
319	0
1272	0
3894	0
13275	0
2243	0
646	0
188	0
19285	1
0	24260
174	274
194	1656
14301	42088
786	6901
139	2791
1	0
7	0
6	2
27239	7328
1071	95765
0	8619
0	1930
18	727
2252	0
68	506
4509	0
252	1000
1522	0
510	0
15	14
664	0
16	0
46	2588
2237	1
469	5564
262	2025
2525	176
23837	1
0	553
3203	4928
894	15429
2165	24777
3190	0
276	6549
0	9
553	373
73	554
52	19067
219	0
245	0
0	3873
16091	0
15	575
0	361
3772	0
30229	4
94	0
0	43
22172	38
7492	89711
0	449
23	353
806	0
9773	0
0	482
25	0
1038	24767
111	29044
0	19677
25395	0
10018	524
26429	0
11627	1
1030	0
696	0
269	0
305	0
41158	135
0	8838
8075	0
9	354
57	0
4	151
14166	3
100	1661
64	0
0	5830
0	5972
0	5782
32	151
26300	0
16432	4631
2134	6866
968	7333
285	2103
356	3877
8445	0
1844	8909
144	1772
145229	3
1804179	31
315605	108
709154	21
20511	2
3515	38490
29117	0
17427	1
3606	14034
342	14035
25749	1
5774	0
0	4864
0	2343
9304	0
450	4658
115	2315
2444	0
658	2667
33	4452
182	0
1963	601
9761	931
1	14571
0	31122
46002	8308
7538	0
11	591
37147	3825
560	0
7226	0
15330	5
1	1
231	9368
28259	0
114	72338
0	5984
294	4530
0	10948
3090	42974
11939	37
1494	654
2068	7783
30388	9
67927	2
0	14340
10287	6
133500	56
10	0
1057	0
161	1425
783	0
62129	6995
6	0
