UniqueCount	AmbigCount
4	0
0	0
5	0
0	0
0	0
4	0
21	4
0	0
0	0
0	0
0	0
26	0
45	47
15	0
0	0
1	0
0	0
0	0
1	53
13	53
0	2
6	2
0	2
2	0
1	0
0	3
0	1634
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	0
60	101
0	562
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1476	0
162	0
2	18
11	15
5	3
58	0
13680	0
2533	0
2784	0
6	2
569	0
0	0
75	0
8530	0
0	1445
17	1560
0	1605
4	1169
3007	0
0	22
1	22
0	0
2063	0
3	0
0	5
4	5
0	5
3	0
14	0
1084	0
4	0
527	0
7727	0
22	25
0	25
964	0
331	1211
0	1211
469	0
4882	0
3	19
0	19
0	0
0	1379
1	1773
8	1518
646	0
28	0
87	0
139	0
164	0
790	2051
602	2051
1063	0
0	143
5	143
0	0
11	0
3	0
410	0
24	3659
2762	3659
7532	0
150	763
0	651
188	257
52	302
0	375
0	617
0	577
0	366
0	287
0	355
0	334
30	0
3202	6686
10	6686
0	89
0	62
0	108
0	119
0	100
4	0
22	52
5	102
0	50
60	1317
173	1317
3	0
39	31
0	25
13	20
4	0
0	0
0	1
0	0
0	0
33	0
18	1
1905	0
2	0
0	0
0	2
1	0
1	0
0	0
3	0
0	0
3	0
25	0
0	247
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	1
1	0
12	0
35	0
0	34
0	22
8	6
0	1620
185	1620
0	1476
4	0
0	0
1	0
1	0
5	2
5	0
0	0
0	0
1	0
0	0
0	10
0	10
1	0
6	0
25	3
2	805
0	1270
18	1270
0	1266
0	0
0	0
0	0
1	35
0	1
0	8
0	0
0	0
0	0
1	0
0	0
3037	0
9	62
23	62
153	832
23	832
30	0
251	730
911	730
3663	0
36	6350
19	6350
0	6350
0	1360
0	1063
1307	724
0	724
1307	515
90	515
5547	0
595	0
24744	0
173	741
75	741
9608	0
114	8101
52	7107
521	7727
306	6725
4	86
0	90
3	87
5	77
20	281
6	283
0	307
0	202
0	181
1238	862
0	862
105	0
66	924
76	924
1	21
0	21
6	0
6125	0
0	0
4	0
77	601
0	601
32	0
994	0
19	0
9	0
54	0
143	0
2	6
0	6
72	62
0	62
2403	0
18	0
148	1407
0	1407
1	4
2051	0
1768	1513
498	0
0	194
0	362
0	96
0	648
0	536
0	524
0	121
33	171
0	171
3253	1791
10	1776
29798	0
922	276
155	276
3	0
15	1054
0	769
0	1054
5322	0
0	519
0	301
0	492
1089	0
68	0
24	2
224	0
0	1823
1	2357
3	1460
0	2021
1	447
6	447
150	0
2939	0
0	663
47	744
0	784
657	0
6291	0
1694	0
66	2570
30	2421
0	2653
49	2388
0	2667
0	5
0	29
27	35
0	30
9	41
0	41
0	0
0	8
8	0
1274	0
401	0
58	0
1017	0
22	0
172	0
528	0
0	0
264	1900
0	1900
1437	0
69	43
0	30
0	43
0	2
0	2
1678	0
1	0
184	0
1806	0
0	728
36	745
0	821
43	301
86	301
0	350
0	304
0	181
16	2
76	0
1035	0
103	458
0	458
132	0
12	0
2	0
33	0
1434	0
1019	0
726	0
0	128
0	138
41	138
180	544
0	544
174	0
94	429
0	429
0	420
358	2387
3	2199
0	2387
0	425
3437	3868
33	3868
4603	0
1565	0
4558	0
0	286
20	377
0	317
0	377
0	300
0	321
1884	0
100	0
0	76
0	76
33	610
0	592
0	531
6	610
481	0
333	0
22	0
176	0
2	71
0	89
0	93
0	93
0	87
3792	0
1	1088
1	755
2	56
425	56
4	81
0	79
0	81
0	71
1498	0
605	0
267	0
1616	0
3	667
251	667
107	1
109	1901
5	1901
1177	0
0	0
79	0
7	152
0	152
295	2486
0	2486
495	1088
20	1088
309	1135
16	1131
0	1143
2	1066
961	0
210	10568
0	10568
2315	0
74	0
567	0
2317	0
7	0
0	0
18	138
2	138
0	127
32	2822
90	2822
890	0
30	0
13	23
0	23
245	0
1751	0
0	0
28	0
2262	1
1933	5
0	5
0	0
0	0
0	0
0	0
3	0
1	0
0	0
0	0
0	0
0	4
13	0
4027	0
0	697
1205	697
684	0
188	1585
0	1585
0	1353
2125	0
381	0
22989	0
0	1946
413	1946
0	1794
2399	0
141	0
2068	0
2840	288
2	288
11204	0
2410	0
0	31
5	116
0	116
0	89
4	169
916	511
30	285
0	226
635	0
2037	0
628	0
432	0
132	0
101	1513
0	1081
0	1513
937	0
2542	0
0	393
2051	393
2268	0
0	665
73	665
532	0
64	1636
63	1636
876	724
0	724
1578	0
122	610
0	610
16	0
3860	0
90	201
0	201
2338	0
565	0
360	0
11	0
216	1618
11	1618
5	0
1469	0
0	1030
0	1358
0	1225
0	71
258	71
23	311
7	311
1335	0
98	0
12	910
23	924
1	1109
3	8
0	8
3500	0
68	810
0	810
12	0
10	0
0	276
5	44
7	276
1	20
0	20
749	128
0	128
3859	0
0	1
0	1
0	13
1	13
0	13
2	6
3	171
0	171
0	0
180	0
1	0
0	0
0	0
0	55
0	53
0	56
91	0
0	2628
334	0
0	94
0	39
0	122
0	32
0	17
0	10
0	16
0	17
0	97
1	66
0	14
0	40
24	0
165	0
0	1651
1695	2244
2337	0
35	532
0	532
6	74
0	72
8	74
101	0
18	0
1	1280
384	1280
1599	832
81	457
0	375
7	0
27	0
2042	0
7	2255
120	2255
0	1358
1	58
0	58
0	1214
137	1214
209	0
0	0
16	0
1322	0
7	0
0	25
0	25
0	25
43	0
36	0
1	16
0	15
0	16
0	11
7841	0
0	235
68	235
1925	0
174	19
49	0
24	39
0	39
2453	0
3032	0
65	0
0	364
0	349
0	364
2184	0
34	1071
0	1071
1829	0
4375	0
6239	0
484	10032
1159	10032
0	13
0	13
6977	0
1853	0
0	774
3	1618
94	1618
0	1516
61	1618
2453	0
2016	0
3981	0
