UniqueCount	AmbigCount
3	0
0	0
228	0
0	0
0	1
1	7
0	50
34	3
0	7
0	8
7	0
2	6
245	0
0	557
284	702
2	386
0	176
54	557
4	145
3536	426
408	0
107	1307
368	1986
0	697
0	56
0	56
7	78
0	78
5	4
1	84
3	1
0	3
0	3
0	3
40	56
1	14
15	51
135	2
21	513
4	4
11	13
0	0
0	0
1	0
0	1
1	0
3	23
0	0
8	1
0	0
0	2
1	0
3	103
0	0
0	0
0	0
23	0
0	0
285	8
3	1
0	0
119	31
0	18
0	0
0	0
1	0
0	0
0	0
30	16
0	67
1	0
1	1
9	6
2	7
0	170
62	0
0	0
0	0
0	0
13	155
0	2
24	0
28	0
6	0
559	0
13	0
0	0
1	0
1246	0
727	0
121	3
0	3
945	0
515	0
2479	1346
480	202
0	202
0	469
36	469
0	460
38	0
0	0
2345	0
882	0
65	0
60	545
0	545
0	1017
1671	1017
1778	0
42	696
0	696
5	28
0	28
1	27
0	248
40	248
23	247
0	247
582	0
1287	0
455	282
6	282
10	10
1	10
244	0
0	2
0	2
1	1
6	0
0	59
1	59
20	338
0	338
1	110
0	60
124	60
2	60
0	49
74	0
3	2
0	0
0	0
63	0
0	509
258	509
0	0
8	0
0	0
25	0
0	607
363	607
0	4
0	3
0	4
0	4
0	3
0	0
530	0
803	0
23368	0
70	236
0	236
5192	0
54	126
0	119
0	123
0	129
0	133
3	259
0	0
6	0
0	0
0	0
1	0
883	0
257	0
53	0
195	0
537	0
397	0
2746	0
660	0
630	0
0	0
2	0
0	15
0	15
3	15
91	0
4	9
0	9
225	0
51	0
0	13
5	16
0	18
8	18
0	18
0	13
0	3
7	3
148	393
0	0
0	35
0	0
3	0
0	4
0	3
0	1
0	0
1	0
190	0
0	1
8	0
1	0
0	0
0	1
6	5
0	10
0	0
0	0
0	0
1	0
39	138
2	191
3	191
10	191
0	4
888	0
1	0
214	0
0	2
192	0
335	0
41	960
64	960
0	130
58	130
114	0
211	0
1	0
1	0
1	0
4	13
5	13
138	0
5	278
2	278
13	26
0	60
1	60
0	23
0	39
0	34
0	12
0	36
0	18
61	0
37	0
0	284
95	284
786	0
13	258
0	258
2	0
567	0
148	0
620	0
0	846
0	1105
0	1082
0	997
314	0
368	0
9	232
