UniqueCount	AmbigCount
3	0
1	2
0	89
11	0
32	4
0	39
0	16
0	40
3	40
0	39
1	25
0	31
0	42
0	21
110	151
4	25
3	0
0	11
21	17
2	0
96	0
0	41
1	22
2	31
0	23
8	147
66	147
9	0
6	0
14	0
58	0
24	0
394	863
153	0
0	11
3	15
5	15
1055	0
0	253
0	334
0	283
421	0
215	0
0	206
203	206
13	0
0	195
3	0
0	3
0	0
6	0
0	3
5	22
1	3
7	4
43	1
35	0
0	8
0	2
27	0
4	2
1	0
16	0
4	0
0	0
37	10
29	0
3	4
0	0
4	0
0	25
11	0
3	0
177	1
27	4
1	5
77	225
0	4
11	0
1	15
1	4
0	114
0	100
0	379
0	950
21	0
5	16
114	5
5	5
8	0
1	0
6	1
5	1
0	130
11	130
23	470
10	469
822	188
24	0
1238	0
725	0
3	0
2392	35
5	4
1	4
2	0
98	0
37	0
28	68
12	1
0	1
3	0
300	0
613	450
3	72
9	3
3	0
0	2
0	3
0	0
0	0
2	0
12	11
0	11
2	1
3	0
1	0
3	0
11	4
2	0
17	29
38	69
81	149
0	149
9	0
67	4
187	57
2	0
0	0
2	0
23	0
14	0
0	0
76	0
8	0
1	0
114	0
1	0
2	70
31	43
6	0
22	0
0	14
6	14
1	37
3	0
10	0
109	0
3093	0
82	0
13	0
264	0
0	202
0	210
0	228
81	0
1436	0
0	94
0	119
0	153
2	137
5	358
17	358
40	220
0	220
465	0
3	204
1	161
691	204
221	0
622	0
4	0
9	0
103	3
0	0
15	15
0	2
0	0
3	1
19	1
2	1
3	0
3	19
1	0
35	26
0	0
11	0
0	11
0	0
42	2
2	41
0	7
42	7
0	2
0	0
15	0
4	0
7	0
1	0
12	0
17	0
3	0
3	0
0	24
0	26
0	26
0	26
111	182
1	130
15	182
8	0
2	0
0	18
5	18
12	0
0	0
65	1
9	0
5	4
7	0
6	4
5	0
7	4
17	0
0	0
2	0
6	0
0	0
19	0
0	1
2	7
0	7
0	5
11	5
12	0
3	0
8	0
0	0
455	9
10	49
0	0
1	0
2	0
361	0
9	4
0	504
12	504
0	1
5	10
10	8
39	16
2	4
8	2
56	0
3	0
10	8
4	0
5	0
2	1
0	276
25	14
0	0
2	0
82	0
4	0
10	78
1	1
20	4
14	0
32	0
31	0
9	0
0	171
0	175
0	170
0	174
0	42
7	40
0	36
0	19
0	33
1	33
2	8
29	61
8	0
20	1
10	3
9	1
18	1
52	0
0	46
272	0
0	1
8	2
1	0
1	0
7	0
20	0
14	0
0	86
0	113
0	56
0	0
4	0
9	0
208	0
98	0
0	176
0	198
0	213
0	161
57	0
0	177
1	475
0	70
265	475
0	59
0	228
296	0
90	0
35	8
69	7
76	10
0	0
0	0
1	12
26	1
2	1
1	0
0	2
17	44
18	0
4	0
0	8
2	8
0	4
1	6
0	0
5	0
16	1
18	0
0	149
6	1
1990	312
0	207
13	208
3	208
0	10
0	183
0	96
1344	0
81	28
1	2
9	2
3	41
13	41
9	0
3	0
3	0
3	7
1	32
0	28
0	28
0	19
0	13
0	11
153	0
3	0
11	0
44	0
52	24
0	19
20	5
5	3
13	12
9	2
0	6
4	3
0	3
53	8
15	0
58	0
51	39
1	10
9	226
74	226
41	0
0	243
0	367
0	267
1	0
25	0
255	0
7	0
11	0
15	0
10	0
32	0
1	0
0	14
1	91
6	16
31	3
0	1
0	1
20	3
3	1
159	0
0	16
1	16
0	16
22	0
16	0
0	168
15	0
6	10
3	2
10	44
54	2
5247	0
1216	0
12	0
173	1
6	1
24	0
81	87
10	0
3	0
6	0
13	0
24	0
9	0
4	2
1	8
4	8
100	0
60	194
37	194
2	1
0	10
2	3
0	2
2	71
7	0
0	195
277	195
0	80
84	102
0	102
6	3
31	25
0	173
0	160
35	173
351	0
23	0
89	0
4	2
0	325
63	325
0	323
0	214
31	10
30	0
3	80
0	87
4	1
1	0
6	0
14	1
3	1
2	1
0	42
0	75
0	106
0	106
0	38
36	361
0	210
3	0
21	3
3	0
1	20
0	20
0	25
0	5
0	22
9	0
92	4
70	151
27	56
5	0
2	0
9	0
8	0
70	0
0	77
3	77
7	77
0	70
30	70
117	0
100	168
2	168
824	0
0	60
3	60
0	77
0	72
3	77
105	0
16	0
2	173
0	171
0	177
0	181
0	177
0	181
0	177
17	0
0	24
0	24
0	24
0	24
0	24
0	24
0	255
869	255
0	149
0	148
0	103
27	1
2	8
0	20
0	16
0	16
0	16
6	31
1	0
5	0
0	19
0	13
0	11
0	9
0	39
0	32
0	32
0	39
0	36
0	26
0	28
0	28
11	4
23	6
21	44
1	2
33	3
12	7
1297	0
12364	0
12	2
4	0
143	0
10	0
12	14
10	7
6	0
1	0
1	11
1	0
7	0
0	46
1	25
0	5
266	0
26	0
21	0
71	0
9	0
56	0
63	0
7	32
10	0
17	0
15	0
0	0
36	0
12	0
0	271
0	266
1	0
53	0
8	0
0	1
13	0
21	0
4	25
2	1
1	0
58	4
3	7
0	1
0	2
0	0
0	0
4	0
2	0
343	0
34	1
0	1
4	8
3	11
5	8
31	0
19	25
3	25
22	20
12	0
23	89
23	38
3	14
412	1
270	0
2	52
52	52
23	250
0	250
7	0
156	0
4	0
672	0
4	999
0	1051
24	1043
1017	0
4023	0
524	0
47	619
74	619
907	0
0	276
0	251
7	276
17	276
453	0
0	252
29	252
4	201
0	370
0	268
7	271
547	0
128	45
290	0
258	0
17	0
38	0
24	0
2	0
1	0
2	3
1	3
5	7
0	1
17	12
20	0
1	20
0	0
8	0
1	16
5	0
0	0
19	1
28	0
0	0
1	0
4	3
1186	0
3	0
10	11
0	9
10	1
16	5
50	0
10	1
1041	1
44	0
35	1
0	445
1	5
0	37
0	32
0	32
2	39
0	39
0	37
1132	0
28	25
11	0
7	22
54	19
40	2
38	0
2	0
0	50
7	43
0	45
4	9
21	0
71	0
0	296
0	866
0	114
9	505
23	519
423	0
4	48
0	48
2	28
487	60
17	48
0	48
6	49
1083	49
0	323
0	262
0	232
0	318
49	331
0	353
0	228
16	123
0	123
958	1
1	32
106	1
9	9
6	0
15	0
53	35
2	25
157	6
322	0
197	77
0	77
0	1
4	0
78	1
4	3
9	1
36	0
20	0
6	0
1	2
0	1
0	0
4	0
0	35
76	0
3	0
0	0
1	0
0	3
7	8
72	0
0	5
14	3
0	1
0	3
8	3
0	5
69	56
3	1
21	553
23	0
0	2
4	0
1	47
19	0
0	2
0	2
1	0
1	0
86	1
9	0
142	12
16	0
0	2
0	2
36	37
43	77
0	19
0	13
0	11
137	0
0	23
0	38
0	38
0	28
0	28
0	47
0	35
0	38
0	24
0	24
0	22
0	103
18	104
0	84
17	0
4	56
3	0
18	1
5	14
1	14
11	3
2	6
1	0
49	0
34	0
6	1
2	0
5	1
0	0
3	16
1	2
62	0
37	0
1	0
0	0
11	0
19	0
151	174
1	0
2	0
0	0
0	10
9	0
51	29
3	0
5	0
0	0
14	0
1	0
1	37
5	3
0	0
9	10
5	1
14	0
4	0
3	0
1	9
147	9
19	0
108	127
0	1
4	0
27	0
4	0
71	0
3	0
33	13
1	0
4	13
182	148
0	148
61	0
4	0
1	0
12	0
10	74
2	0
0	0
30	0
0	0
11	0
6	0
10	2
169	13
20	0
15	0
17	0
63	1
1	5
1	0
77	0
12	0
1	0
53	0
91	33
65	6
97	16
3	0
3	3
1	0
0	85
1	0
56	0
0	0
71	4
0	6
23	0
2	1
1	0
21	35
5	2
4	0
38	0
2	2
1	1
0	1
0	0
0	0
9	18
0	13
48	0
9	0
3	0
0	5
2	1
104	58
892	1
484	0
349	0
0	453
0	490
0	287
1	0
7	3
3	0
8	1
27	0
1	9
24	4
3	0
2	0
1	0
10	8
439	0
2	11
52	29
2	0
0	0
7	0
50	0
9	0
42	0
0	0
1	10
0	12
9	0
0	0
1	1
3	4
0	1
2	7
0	0
5	0
122	0
35	0
45	0
15	0
412	9
4	5
23	19
1	3
1157	311
24	0
15	0
7	6
0	0
53	35
