UniqueCount	AmbigCount
15	0
243	0
118	0
0	0
9	0
0	0
98	0
2	0
35	0
9	0
0	0
0	6
0	0
239	0
0	0
3	0
103	0
79	0
87	0
119	0
540	0
78	0
0	0
0	0
579	0
126	0
6	0
3	0
8	0
67	0
8	0
2	0
30	0
1	0
2	0
0	0
0	0
4689	0
853	0
2053	0
10	0
145	0
1551	0
2554	0
857	0
0	0
138	0
2050	0
12	0
27	0
37	0
1763	0
2521	0
1686	0
1487	0
1977	0
8	0
31	0
57	0
3	0
14	0
237	0
0	0
0	0
0	0
0	0
246	30
16	0
45	30
5	0
13	0
3	0
0	0
0	0
897	0
40	23
19	0
0	0
0	0
0	0
0	0
1173	0
1490	0
4421	0
142	0
203	0
1096	0
1800	0
2213	0
779	0
4939	0
924	0
442	0
140	0
227	0
4150	0
300	0
901	0
239	0
3228	0
1009	0
522	0
1314	0
3084	0
4533	0
89	0
0	0
0	0
1075	0
25	0
3	0
17	0
1292	0
84	0
2	0
940	0
541	0
2598	0
99	0
0	0
14	0
3	0
0	0
150	7
0	0
315	0
13	0
0	0
0	0
0	0
0	0
0	0
178	0
2	0
1651	0
408	0
295	0
2203	0
937	0
1304	0
2533	0
591	0
1026	0
1693	0
4060	1
1424	0
231	0
3	0
382	0
807	0
5735	0
589	0
1276	0
62	0
154	0
211	2
551	2
95	0
22	0
1	0
224	0
189	0
3372	0
148	0
1	0
418	0
8	0
2	0
333	0
2	0
63	0
3	0
3511	0
864	0
1630	0
475	0
764	0
4040	0
5	0
85	0
17	0
31	0
0	0
0	28
1	0
8	0
306	0
24	0
14	0
6	0
9	0
10	0
353	0
2046	0
707	0
0	0
0	0
0	0
0	0
8	0
319	0
2116	0
0	0
3	0
0	0
36	0
12	0
672	0
1901	0
1898	0
669	0
1334	0
143	0
441	0
578	0
3494	0
1	0
0	0
2	0
222	673
7	0
0	0
0	0
62	0
0	0
259	0
2434	0
53	0
11596	0
5060	0
1	0
1225	0
9	1
0	0
601	0
641	0
1187	0
631	0
0	0
10	3
0	0
0	0
1637	0
890	0
178	0
383	0
4519	0
2672	0
0	0
310	0
155	0
15	0
552	3
56	0
0	0
12	0
934	0
2625	0
16	0
5	0
191	0
1094	0
97	0
1	0
13	0
363	0
330	0
122	0
80	0
411	0
66	0
392	0
118	0
350	0
3958	0
156	0
30	0
0	0
1861	0
38	0
1262	0
20	0
1	0
2	0
10	0
1	0
35	0
2460	0
1411	0
818	0
2	0
2766	153
11129	0
3617	0
1425	0
1466	0
264	0
386	0
333	0
1	0
42	0
98	0
1	0
0	0
0	0
296	0
1	0
1541	0
325	0
546	0
308	0
3042	0
720	0
275	0
2956	0
4635	0
4490	0
5909	0
838	0
127	0
1	159
1077	159
1780	0
393	0
3517	0
1207	0
226	0
979	0
0	0
454	0
1140	0
7112	0
807	0
5967	0
538	0
1773	0
1999	0
2336	0
28	0
384	0
729	0
2271	0
4205	0
11	0
128	0
9227	0
4232	0
1518	0
0	0
624	0
4026	0
1	0
22	0
4	0
84	0
1003	0
264	0
4734	0
1053	0
1	0
341	0
0	0
27	0
644	0
1776	0
5444	0
593	0
4	1
9	0
3	1
2859	0
45	0
26	0
3699	0
2870	0
1473	0
1422	0
1254	28
1851	0
398	0
4038	0
310	0
590	0
1179	0
1975	0
895	0
1016	0
4852	0
3866	0
172	0
2498	0
3168	0
876	0
840	0
3229	0
720	0
7	0
29	0
10810	0
2	0
13	4
20	5
33	3
95	0
35	0
3	0
0	0
763	0
1218	0
965	0
1000	0
908	0
0	0
264	0
5	0
124	0
0	0
13497	0
1894	0
5775	0
31	0
1	0
588	0
1588	0
4501	0
1176	0
1039	0
120	0
27	0
1404	2
134	0
222	0
202	0
7	0
2	0
2604	0
0	4
1786	0
1082	0
13	0
0	0
5	0
2	0
0	0
5	0
890	0
868	0
1068	0
595	0
12893	0
29	0
1613	0
2304	0
2325	0
225	0
6981	0
2585	0
431	0
1765	0
2233	0
671	0
777	0
2124	0
272	0
301	0
5821	0
459	0
1558	0
1327	0
522	0
8	0
1395	0
81	0
8	0
21	0
14	0
270	0
264	6
114	0
0	0
7	0
6614	0
243	0
482	0
11	0
4592	0
941	0
1415	0
1115	0
24	0
1888	0
892	0
570	0
885	0
727	0
1757	0
872	0
854	0
463	0
37	0
11	0
14	0
886	0
2785	0
20420	0
385	0
537	0
1958	0
605	0
0	0
147	0
32	0
0	0
2226	0
238	0
2747	0
1238	0
1059	0
4075	0
27	0
1067	470
220	0
6898	0
84	0
1059	0
0	0
221	0
0	0
28	0
1	0
18	0
265	0
776	0
61	0
0	0
0	0
0	0
15	0
0	0
3159	0
0	0
1479	11
2053	0
5374	0
877	6
9789	0
0	0
3	0
151	0
2	0
2	0
2	0
254	0
1036	0
2348	0
2522	0
825	0
600	0
0	0
7	0
421	0
1	0
0	0
1018	0
2262	0
1098	0
767	0
12	0
6	0
976	0
484	0
4	0
771	0
786	0
924	0
1458	0
506	0
866	0
910	0
1058	0
1636	0
15	0
397	0
8857	0
3085	0
5143	0
670	0
7261	0
1492	0
245	0
490	0
1	0
0	0
31	0
1543	0
1010	0
358	0
81	0
1659	0
5923	0
1183	0
280	0
0	0
712	0
605	0
11	0
6	0
30	0
705	0
2	0
1059	0
997	0
0	0
1	0
0	0
1119	0
0	0
34	0
347	0
1803	0
1952	0
1966	0
791	0
4064	0
2755	0
2777	0
1745	0
1598	0
936	0
9232	0
12340	0
7612	0
177	0
1	0
406	0
120	0
5	0
27	0
0	0
0	0
0	0
0	0
2	1
23	0
1606	0
9	0
26431	0
0	0
1833	0
893	0
1063	0
0	0
12	0
1599	0
391	0
56	0
43	0
1357	0
1255	0
126	0
0	0
251	0
976	0
2160	0
404	0
15078	0
2915	0
25	0
95	0
417	0
668	0
0	0
118	0
0	0
0	0
43	5
1103	0
497	0
3	0
354	0
271	0
0	0
61	0
2	0
70	0
2	0
1	0
1	0
2	0
1807	0
816	0
240	0
8514	0
1088	0
8	0
14924	0
932	0
6	0
3	0
2893	0
18	0
690	0
122	0
0	0
7	0
1	0
1	0
772	0
885	0
1176	0
1364	0
1426	0
1494	0
1	0
19845	0
47	0
1888	0
0	0
0	0
0	0
10	0
0	0
53	0
7	0
4	0
0	0
0	0
1610	0
1507	0
2821	0
1190	0
178	0
118	0
5	0
444	0
0	0
10610	0
0	0
1	0
5	0
3071	0
958	0
478	0
4741	0
755	0
274	0
5168	0
126	0
1670	0
228	0
527	0
1704	0
179	0
98	0
2309	0
1731	0
9619	0
1286	0
0	0
799	0
1921	0
69	0
1610	0
3	0
8	0
1129	0
67	0
4	0
0	0
0	0
0	26
1716	0
2451	0
1528	0
5	0
567	0
2525	0
1223	0
907	0
1154	0
2235	0
324	0
1204	0
31	0
215	0
1585	0
901	0
2955	0
600	0
759	0
818	0
0	0
0	0
16	0
3579	0
250	0
2147	0
943	0
2816	0
1437	2
0	2
0	0
0	0
619	0
1941	0
940	0
47	0
3593	0
73	0
0	0
363	0
0	0
28	0
273	0
4	0
6	0
0	0
100	0
204	0
14570	0
792	0
2352	0
3230	0
14643	0
932	1
2	79
611	79
28	0
1240	0
2326	0
164	0
34	0
1223	0
36	0
0	0
1095	0
147	0
613	0
648	0
391	0
3707	0
171	0
81	0
376	0
916	0
0	0
0	0
299	0
12	0
193	0
1492	2880
1	0
2448	0
781	0
638	0
2	3
583	0
0	0
1546	0
1821	0
752	0
2127	0
153	0
2824	0
1121	0
1040	0
2549	0
2446	0
418	0
2743	0
10	0
0	4
0	0
0	0
43	0
1541	0
5	0
70	0
1388	0
1111	0
1081	0
21	0
590	0
1	0
106	0
1270	0
534	0
340	1
1007	0
1032	0
29	0
2697	0
36	0
3746	0
63	0
1	0
6	0
1	0
2	0
0	0
202	0
2357	0
17	0
4719	0
137	0
102	0
1500	0
1031	0
2	0
0	0
1	0
0	0
0	0
37	0
1274	0
2123	0
2970	0
1021	0
6	0
814	0
67	0
65	0
5	0
6	0
4	0
2872	0
643	0
3172	0
797	0
58	0
1062	0
199	0
662	0
538	0
617	0
46	0
2481	0
1	0
1049	0
85	0
1202	0
0	0
920	0
2	0
0	0
0	0
1229	0
1240	0
162	0
5003	0
370	0
1	0
0	0
1	0
3	0
408	0
17	0
163	6
0	0
3	0
2	0
32	0
1	0
2	0
0	0
3	0
1	0
521	0
0	0
0	0
26	0
0	0
159	0
1883	0
11210	0
0	0
0	0
366	2019
1	2
2	0
12	0
12	0
74	0
0	0
1026	0
3390	0
2299	0
1144	0
30	0
7	0
86	0
1159	0
329	0
1	0
0	0
1261	0
0	0
6	0
0	1
6813	0
2774	0
6	0
0	0
0	0
120	0
1	0
0	3
4009	0
1546	0
2542	0
1511	0
1773	0
2	0
0	0
0	0
1	0
37	0
3	0
18	0
409	1096
5755	4
994	0
1947	0
219	0
1332	0
2023	0
8	0
39	0
208	0
1183	0
717	0
566	0
398	0
17	0
1903	0
0	2553
551	6526
0	2087
0	2827
0	1
0	1
0	116
0	4232
0	496
0	224
0	128
0	4205
1062	0
4	0
0	0
5	0
4	0
0	0
0	713
0	333
0	79
0	0
0	713
0	333
0	79
5	0
300	0
6766	0
560	0
23	0
2	0
348	0
14	0
6	0
4	0
1152	0
1430	0
589	0
176	0
1813	0
1067	0
8016	0
1907	0
1554	0
5157	0
1374	0
2	0
0	0
0	0
170	0
1435	0
159	0
2728	0
36	0
0	0
0	0
1082	0
696	0
811	0
674	0
782	0
53	0
1349	0
618	0
94	0
472	0
1403	0
109	0
235	0
3257	0
1003	0
2467	0
1739	0
428	0
1888	0
2857	0
2513	0
15445	0
701	0
9	0
1066	0
951	0
14	0
62	0
27925	6538
0	2087
0	2827
0	1
0	1
0	116
0	4232
0	496
0	224
0	128
0	4205
8	0
159	0
1246	0
29	0
26	0
15	0
280	0
76	0
3	0
0	0
140	0
1487	0
1696	0
33	0
1084	0
1877	0
743	0
22	0
0	0
91	0
1138	0
505	0
1743	0
4202	0
83	0
6160	0
363	0
2721	0
55	0
0	0
71	0
10402	0
4	0
0	0
0	0
43	0
0	0
3	0
939	0
0	0
4528	0
1327	0
594	0
183	25
0	0
32	0
708	0
43585	0
858	0
652	0
0	0
1	0
64	0
6	0
0	0
5	0
0	0
23	0
102	0
202	0
1167	0
435	0
3686	0
3070	0
2	0
1154	0
5118	0
26	0
0	0
2	0
1419	0
275	0
6733	0
18523	0
18118	746
1758	0
756	0
1834	0
1455	0
467	0
1	0
66	0
242	0
6	0
51	0
29	0
799	0
219	0
44	0
1177	0
808	0
305	0
77	0
1206	0
1441	0
517	0
1334	0
2136	0
3	0
2340	0
20	0
0	0
535	0
3824	0
1	0
57	0
1687	0
18682	0
55647	0
54	0
4792	0
2470	0
689	0
173	0
0	0
0	0
2	0
13	0
10	0
2	0
0	0
611	0
5198	0
4158	0
1343	0
1532	0
1528	0
162	0
34	0
515	0
527	0
197	0
699	0
269	0
250	0
79	0
3926	0
2713	0
0	0
1243	0
3498	0
2	0
0	0
0	0
587	0
0	0
8024	301
3225	0
837	0
4231	0
554	0
3200	0
3026	0
16668	0
626	0
1776	0
117	0
7640	0
62	0
201	0
3	0
6	0
214	0
150	0
122	0
253	0
409	0
2766	0
3122	0
5137	0
76	0
754	0
89	0
37	0
8	0
387	0
0	0
68	0
983	0
277	0
2275	0
195	0
114	0
4929	0
1733	0
5108	0
1096	0
3659	0
472	0
593	0
40	0
143	0
193	0
3	0
393	0
2138	0
1015	0
