UniqueCount	AmbigCount
1	0
1	116
27	116
141	0
0	34
38	34
405	0
346	0
0	712
768	712
668	0
0	205
24	205
0	335
350	335
66	0
9	2
26	0
11	0
2	0
4	0
6	0
0	0
32	0
5	0
0	0
6	0
3	0
4	0
74	0
624	0
294	0
4	0
0	0
1	0
5	377
104	377
3	265
74	265
0	362
316	362
1190	0
1037	0
2	0
0	0
0	0
604	0
2058	0
198	0
75	880
0	880
1	0
1	0
0	0
2	0
10	243
93	243
0	122
210	132
2	0
431	336
0	336
180	0
28	17
6	0
3	0
4	0
57	0
0	128
0	98
0	137
3	1798
7	1798
0	232
271	236
0	236
0	0
17	133
0	133
26808	2
0	4
0	4
5	1
5	0
0	101
217	101
0	39
113	0
4	0
0	0
0	528
0	598
0	689
0	524
719	0
40	0
1183	0
350	0
8	0
0	182
148	182
565	0
584	0
0	0
0	30
0	32
11	32
649	0
1	0
8	2
0	0
103	40
0	40
4	0
14	0
0	55
35	55
1	25
97	0
277	0
77	0
295	0
54	180
22	179
17	236
41	237
0	0
0	0
0	0
0	0
8	368
0	253
20	327
0	43
0	18
0	2
1	2
10	0
1	0
24	0
29	0
0	0
278	0
1	0
0	0
6	0
1	0
0	0
2	0
2	0
0	0
393	0
4	0
0	268
1	165
0	346
1	271
0	289
186	963
0	963
0	930
4	419
0	427
19	427
3	0
2058	1
0	64
14	73
0	73
0	5
7	5
0	455
0	509
30	506
46	90
0	90
390	0
44	69
89	69
3	19
12	19
761	0
32	0
29	0
141	0
0	134
132	134
5	0
8	0
0	0
4	0
4	0
10	0
33	6
1	0
2	1
4	0
29	0
0	0
11	0
0	0
0	0
0	95
0	233
0	214
0	139
0	155
0	249
123	0
361	0
0	0
0	0
0	0
4	0
4	0
15	0
2	0
0	4
2	4
2	0
2	52
0	58
0	46
6	0
0	100
0	94
1	91
243	0
0	0
72	0
0	107
83	107
24	5
5	0
13	0
0	0
5	0
1	3
1	0
66	0
0	0
0	0
2	0
3	0
2	1
11	0
0	0
5	0
4	0
0	0
0	0
1911	0
10	0
823	0
2	186
0	208
0	175
0	0
25	0
0	0
0	0
37	0
3	2
0	2
1	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
4	0
11	0
10	9
0	9
0	34
40	34
0	5
8	0
450	0
0	62
0	43
14	62
0	59
326	0
190	0
9	0
42	0
1	0
68	0
10	0
11	0
21	0
72	0
51	0
20	0
19	0
2	0
15	0
48	0
14	0
9	0
16	0
15	0
36	0
54	0
39	0
69	0
17	0
9	0
0	32
2	32
20	0
12	0
0	0
0	0
0	0
1399	1
467	0
0	598
62	598
0	45
3	45
7	0
2	0
0	0
0	0
0	0
2	0
1	0
0	0
0	0
292	0
0	56
0	32
13	56
1	0
1477	0
871	0
202	714
0	714
94	0
311	0
27	0
3	0
1	0
3	0
5	0
0	1
2	0
0	0
3	0
768	0
0	0
0	0
4	0
0	0
0	1
1	1
0	1
1	0
1	429
60	429
428	0
2	0
570	0
0	5
1	5
0	28
20	31
0	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	3
0	28
0	31
0	17
0	0
3	0
4	0
257	0
42	0
4	0
0	0
0	0
0	4
17	4
4	0
12	0
0	603
41	603
2530	0
0	0
29	0
0	0
0	0
1	0
0	0
0	0
0	9
0	14
0	9
0	2
0	7
0	4
0	9
0	11
0	7
0	7
0	4
0	4
0	2
0	9
0	1
0	6
1	1
0	1
0	2
0	2
0	2
0	2
0	1
0	2
0	1
0	2
0	7
0	4
3	0
2	0
5	0
0	0
176	6
16	0
220	167
0	167
2	0
11	0
20	0
1	0
25	31
5	0
901	0
0	0
1	0
1	0
438	9
0	9
26	57
0	48
0	44
0	80
0	108
0	587
0	643
0	648
0	666
0	671
117	0
208	0
16	69
1	109
0	110
0	99
229	0
24	0
26	0
0	0
0	0
4	0
4	0
0	0
0	0
1	0
813	0
3	0
1	0
2	0
1	0
0	0
0	0
56	0
573	0
160	0
917	0
4	0
3	0
2	0
0	0
38	0
13	0
208	0
943	0
17	0
567	0
749	0
39	673
258	673
53	0
1	0
0	19
13	19
5	0
2	0
1	0
0	0
0	2
0	2
3	0
0	0
110	0
1	0
0	96
54	96
17	0
61	0
58	0
0	60
20	60
806	0
445	0
368	0
1	0
7	0
0	0
5	0
0	0
5	0
5	0
822	0
2	0
0	0
2	0
2	0
3	0
0	0
2	5
1	0
1045	804
7	5
4	0
5	0
0	0
909	0
0	463
22	463
2	0
3	0
0	0
0	31
0	31
0	0
90	6
1	0
243	0
126	0
9	52
14	52
482	0
0	320
65	320
0	19
10	68
0	23
2	68
27	0
27	24
0	24
69	0
470	0
0	12
3	12
430	0
0	0
0	0
0	0
49	0
0	43
0	43
532	0
1	0
0	1
0	1
0	1
1	1
0	0
6	0
7	0
4	0
0	306
0	414
0	182
271	0
70	0
52	39
1	39
3	0
1	0
0	0
98	0
0	37
2	37
13	0
678	0
0	161
33	257
0	276
0	107
32	107
0	0
0	0
0	0
6	0
4	0
5	0
3	0
2	0
506	0
332	0
40	102
0	102
0	103
80	103
23	589
5	589
3532	0
2	0
2	1
218	0
4213	0
819	0
0	208
46	208
56	0
148	0
25	0
322	0
220	0
0	325
144	325
0	55
0	13
0	22
0	74
0	56
7	74
642	0
22	214
123	214
0	202
1	0
0	38
27	38
0	214
90	214
0	6
7	10
0	6
0	10
0	623
141	623
0	28
0	28
51	259
0	259
248	0
15	0
63	0
0	0
424	0
220	228
0	375
0	566
305	566
5	452
74	0
435	81
0	81
15	130
0	130
220	0
201	0
19	48
4	45
0	48
16	0
532	0
0	353
0	398
0	354
0	128
0	384
0	384
0	398
0	398
10	384
7	384
0	1
10	51
0	51
0	0
902	0
4	0
47	0
359	0
545	0
1801	0
239	0
3	0
2	0
0	79
7	79
0	178
92	178
207	0
0	15
4	15
0	15
3	0
1328	0
69	240
3	240
0	47
0	41
1	47
312	0
0	195
0	170
0	168
0	172
0	189
0	185
0	187
0	160
0	199
0	197
0	0
30	0
1072	0
36	69
19	69
812	0
286	0
190	0
2	168
186	168
0	84
0	85
34	147
0	69
0	94
4	0
132	47
65	14
2	373
1	378
92	395
0	81
0	14
7	95
6	0
12	13
2	9
0	4
1	0
1	194
1	194
1	0
0	270
0	45
0	48
0	322
0	65
0	20
0	50
0	69
0	249
0	616
764	3244
9	2628
0	28
5	28
0	28
25	0
55	0
644	0
95	264
715	536
1	800
16	57
0	57
2207	244
0	230
2202	0
285	0
2	0
0	0
0	0
1	0
43	0
40	6
0	0
0	0
5	0
1	0
274	0
0	447
0	403
0	157
0	0
104	0
0	892
0	629
0	628
0	698
0	615
0	894
0	891
0	961
0	631
0	339
53	83
0	38
1	83
0	0
5	0
12	14
0	14
7	0
0	0
0	0
0	0
0	0
3	0
776	0
8	0
374	0
95	0
1	0
0	0
0	0
430	0
0	131
47	132
11	132
801	0
8	0
1	0
4	0
0	0
4	0
0	0
0	72
0	77
26	77
0	98
140	98
42	0
11	7
0	0
3	0
0	0
4	0
23	0
170	0
1008	0
0	2
0	2
0	2
6	123
120	123
0	95
9	95
283	310
0	310
0	0
104	0
14	20
0	20
4	222
191	223
14	0
1	0
128	0
82	0
1	0
5	0
858	0
62	649
47	649
0	0
5	97
4	96
5	97
0	1
1	3
2	3
0	9
66	9
179	0
26	0
0	187
19	187
156	0
44	163
12	163
13	0
0	1457
1391	1458
7	0
2	0
6	0
0	0
1	0
0	0
0	0
0	409
231	1030
0	1049
2	0
0	426
0	429
12	401
0	427
0	428
163	0
1890	0
0	0
99	0
2	0
0	0
0	11
0	3
0	13
615	778
0	778
419	0
5	125
1	98
0	124
55	51
0	31
0	51
0	42
2	41
0	30
0	42
0	26
0	69
5	116
29	116
227	235
0	235
0	0
0	0
160	213
0	213
0	3
1	3
27	244
0	244
0	8
17	8
6	0
0	0
1	0
0	0
391	0
42	0
83	0
0	0
0	0
2	0
0	0
39	37
0	36
68	200
8	200
690	0
0	0
5	0
12	0
0	0
8	0
2	0
0	0
1121	0
2	0
0	0
0	21
62	21
0	265
84	265
0	114
182	0
151	0
120	0
103	0
0	154
0	142
7	154
0	56
2	56
0	148
1	130
0	190
154	0
14	0
180	0
165	0
0	6
10	6
96	138
0	138
3	0
1	0
0	0
2	0
0	0
1	0
1	0
3	0
2	0
1	6
13	2
0	0
1	0
81	0
2	0
0	0
3	14
3	14
0	0
10	0
2	0
5	0
5	0
0	0
421	0
3	0
3	0
6	10
0	9
0	10
17	5
0	0
3	0
0	0
0	0
2	0
3	0
0	0
1	0
0	0
576	14
86	8
13	0
2	0
4	0
0	1
327	0
285	0
206	0
5	0
0	0
0	18
7	18
0	92
10	92
0	76
88	1
0	0
7	0
4	0
13	0
59	1
25	0
4	0
4	2
0	4
4	4
0	4
0	4
9	0
0	0
3	0
7	0
9	0
0	0
0	0
0	0
52	2
1	0
15	0
186	0
0	0
26	0
0	0
27	0
1	0
0	0
3	0
2	0
0	0
2	0
0	0
0	0
0	0
3	0
0	0
4	0
7	0
11	0
20	0
0	0
119	1189
0	1189
0	919
519	0
580	0
0	0
35	2
324	1135
565	1135
0	167
51	167
0	262
2	228
32	291
0	266
28	0
7	16
0	16
63	0
0	43
0	43
0	43
10	317
28	316
12	266
573	0
0	129
0	185
2	106
2824	0
1357	0
200	0
259	0
102	0
0	313
195	313
0	267
25	180
5	180
0	150
0	106
0	113
25	150
0	64
0	63
6	59
2	64
0	96
0	93
24	82
0	88
0	85
0	0
0	0
0	0
9	0
14	0
22	0
19	0
0	2
0	2
0	2
0	2
1	2
40	11
9	11
68	0
3	0
15	0
379	0
0	105
7	204
0	99
31	105
0	0
2	0
0	0
0	0
1	0
65	0
18	0
18	0
565	0
100	0
184	0
439	0
2	680
1	0
3435	0
0	1053
294	1053
1	0
19	0
49	3
90	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
2	0
2	0
5	0
9	0
12	0
5	0
2	0
17	0
1	0
7	0
0	0
0	0
30	0
331	0
0	0
0	0
0	0
0	0
0	165
0	229
0	110
0	0
0	0
5	0
60	0
0	0
0	0
0	0
39	0
0	0
0	0
0	0
0	0
27	2
0	39
23	39
1	0
0	0
6	0
3	0
71	0
46	0
75	29
382	0
8	0
4	0
0	5
0	11
0	13
0	3
8	0
0	0
4	0
27	1881
1	0
293	0
0	523
215	523
364	0
4	0
26	0
0	490
285	490
5	0
4	0
6	1
6	8
0	0
9	0
2	0
0	0
1	0
1	0
0	0
0	0
3	0
222	0
265	0
2	0
0	0
8036	1
0	0
0	0
3	0
0	0
2	0
0	4
1	4
648	2
11759	1
0	781
5	781
4	31
0	0
5	0
0	0
0	0
7	0
25	5
19	0
1	0
9	0
1	0
4	0
2	0
12	0
215	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1077	1646
6	1646
0	0
10	0
0	0
34	0
0	0
0	0
1	0
9	5
0	0
262	0
5	0
0	0
0	0
0	0
0	0
0	0
2	0
2	0
0	0
8	0
0	0
26	0
356	0
0	0
0	0
0	0
0	0
0	320
0	380
94	380
20	2
0	0
201	0
0	0
6	0
1	2
0	2
7	0
210	0
2	0
46	5
10	5
0	25
0	36
0	12
0	35
0	21
1	0
8	0
0	0
0	0
3	0
68	1
3	0
402	0
164	0
11	0
0	0
13	0
0	0
8	0
4	0
2	0
0	0
2537	1
393	0
0	0
0	0
0	0
0	0
2	0
0	0
6	0
0	0
1	0
2	0
12	0
1	0
0	0
3	0
4	769
595	769
3	0
4	0
5	2
162	0
0	0
0	0
0	0
3	680
0	0
17	0
8	0
10	0
1197	0
0	0
0	0
0	0
0	0
478	0
1	1
9	0
0	0
1	0
0	0
6	0
9	0
1	0
456	0
0	168
0	216
22	216
6	197
0	197
1166	0
0	0
0	0
4	135
10	135
5	121
51	0
18	0
6	0
136	585
15	0
5	0
0	0
0	0
0	0
0	0
0	0
5	0
1033	0
4	13
52	13
26	0
2	1
0	2
0	0
1	0
813	0
0	0
0	0
4	12
0	12
8	0
1	0
388	0
5	313
0	277
0	160
0	363
0	0
7	0
3	6
0	0
26	0
18	130
0	130
34	170
0	170
10	0
0	347
30	347
2	21
0	21
4	0
12	0
0	309
0	19
0	86
0	51
0	46
0	323
0	318
1	0
0	45
3	45
0	45
1	0
1	0
0	0
0	0
178	0
11	0
0	0
8	0
4	0
31	0
0	0
1	0
1	0
5	0
17	0
1	0
1	0
2	0
0	0
75	0
0	7
2	7
0	0
0	0
0	0
372	1
0	320
34	320
1	0
0	0
75	0
4	0
6	0
53	94
1	4
1	0
1	0
2	0
2	0
3	0
4	0
6	0
258	486
0	486
0	1
1	1
1	0
112	5
0	0
0	0
0	0
0	315
0	313
0	10
0	315
0	322
0	327
0	5
0	15
0	15
1	3
207	0
300	0
493	0
0	0
10	128
2	0
0	0
4	11
0	0
112	0
0	0
5	0
9	0
20	0
280	0
46	55
1004	0
33	0
1	0
7	0
1	0
8	0
0	0
0	0
0	0
1	0
2	0
0	0
0	0
25	0
2	0
24	0
0	0
0	0
0	0
2	0
437	2
0	0
10	0
9	0
1	0
0	0
0	0
3	0
0	0
0	0
0	0
35	1
0	0
2	0
0	0
0	0
0	0
0	0
1	2
0	0
27	0
0	0
3	0
0	1
9	0
0	68
0	72
0	84
2	79
0	0
1	0
1	0
1	0
0	0
0	0
2	0
10	0
260	0
34	71
0	71
0	134
11	134
3	104
0	402
0	372
121	402
485	0
1199	0
111	0
115	0
668	0
57	0
0	262
151	262
1505	0
0	0
3	0
0	0
0	0
75	0
0	0
5	0
3	8
0	0
20	0
3	0
0	0
25	0
3	0
0	0
10	0
116	0
1	0
2	0
1	0
8	0
14	0
5	0
0	227
77	227
0	0
2	0
10	0
0	0
1	0
0	0
0	0
1	0
32	0
2	0
3	0
2	0
228	0
0	53
1	62
0	71
18	0
19	0
0	0
0	15
0	17
4	17
0	0
1	0
1	0
2	0
0	0
0	0
0	1
0	1
0	1
0	0
0	1
0	1
0	1
0	0
113	0
0	0
8	0
