UniqueCount	AmbigCount
2	1
1	314
82	314
435	0
8	65
119	65
2078	0
648	0
0	2556
2774	2556
2245	0
0	622
100	622
0	1232
1312	1232
380	0
27	1
67	0
101	0
71	0
56	0
15	0
0	0
52	1
4	0
1	0
23	0
8	0
9	0
328	0
3249	0
877	0
46	0
0	0
11	0
3	842
234	842
4	780
108	780
2	1191
709	1191
3929	0
3330	0
15	0
0	0
0	0
2395	0
6972	0
812	0
557	2893
0	2893
5	0
4	0
11	0
20	0
16	1090
307	1090
4	493
510	316
6	0
2104	1484
0	1484
467	0
98	47
111	0
44	0
64	0
256	0
0	405
2	325
0	448
1	5203
22	5203
0	882
1260	886
0	886
5	0
58	363
0	363
69920	0
4	7
0	7
103	40
42	10
0	365
398	365
0	155
744	0
43	0
6	0
0	2656
16	2681
0	3411
0	2632
3878	0
183	0
5175	0
1197	0
11	0
0	764
714	764
2588	0
2211	0
0	0
0	72
0	80
13	80
1289	0
29	0
38	0
1	0
464	227
2	227
33	0
19	0
0	208
102	208
29	168
370	0
992	0
251	0
1191	0
95	426
70	426
89	459
100	459
0	0
0	0
0	0
0	0
37	704
0	434
67	562
0	143
5	48
0	71
114	71
38	0
36	0
18	0
31	0
1	0
835	0
3	0
0	0
22	0
9	0
1	0
4	0
41	19
2	0
1363	0
90	0
0	573
0	345
0	689
0	577
0	566
473	1949
0	1949
0	1837
25	1269
0	1274
37	1274
3	0
6227	0
0	210
38	234
0	234
16	18
60	18
0	1200
0	1312
75	1287
117	462
0	462
1602	0
118	136
280	136
2	82
90	82
1766	0
77	0
173	0
449	0
0	604
691	604
26	0
18	0
6	0
13	0
3	0
76	2
234	64
5	0
13	2
28	0
205	0
1	0
81	0
1	0
5	0
0	257
0	802
0	738
0	537
0	648
0	913
236	0
389	0
0	0
2	0
2	0
8	0
68	0
41	0
9	0
0	9
4	9
17	0
0	99
0	115
0	95
8	0
0	582
0	561
1	497
731	0
29	0
107	0
0	83
117	83
28	5
18	0
61	0
0	0
64	0
18	3
21	0
233	0
2	0
0	0
16	0
48	0
21	4
55	1
0	0
27	0
45	1
0	0
0	0
9898	0
100	0
2034	0
9	658
0	799
1	670
0	0
98	0
0	0
6	0
142	1
1	0
0	0
