UniqueCount	AmbigCount
2	0
2	265
89	265
492	0
14	59
133	59
2025	0
657	0
0	2509
2630	2509
2425	0
0	642
137	642
0	909
1012	909
775	0
29	3
86	0
68	0
45	0
42	0
22	0
1	0
85	0
4	0
0	0
33	0
15	0
6	0
430	0
3337	0
728	0
27	0
1	0
14	0
7	1178
401	1178
10	755
231	755
3	1689
1081	1689
4771	0
3505	0
3	0
0	0
0	0
3213	0
9318	0
1015	0
794	3272
1	3272
3	0
2	0
3	0
6	0
37	967
270	967
2	433
510	404
7	0
1463	932
0	932
564	0
85	31
57	0
36	0
41	0
236	0
0	526
0	405
0	598
5	6796
36	6796
0	1398
1291	1404
0	1404
1	0
79	498
0	498
80365	1
11	64
5	64
52	22
33	0
0	329
548	329
0	129
450	0
11	0
9	0
0	1975
16	1965
0	2559
0	1957
3490	0
327	0
3608	0
1238	0
11	0
0	950
823	950
2065	0
2734	0
1	0
0	128
0	142
32	142
1805	0
15	0
15	8
5	0
332	156
3	156
18	0
45	0
0	171
133	171
21	113
380	0
1222	0
220	1
1375	1
169	859
76	859
121	684
156	684
0	0
0	0
0	0
0	0
24	517
0	343
30	433
0	85
1	21
0	11
18	11
16	0
8	0
22	0
38	0
2	0
1136	0
6	0
0	0
43	0
38	1
1	0
4	0
33	13
10	0
1222	0
50	0
0	1007
4	705
0	1292
0	1012
4	1034
766	2345
0	2345
0	2170
19	1910
0	1928
55	1928
9	0
9309	0
0	307
62	349
0	349
20	21
45	21
0	1284
0	1491
123	1472
267	785
0	785
1684	0
162	115
268	115
6	47
43	47
2136	0
145	0
90	0
668	0
0	575
844	575
19	0
65	0
13	0
15	0
19	0
52	4
204	56
0	0
13	0
17	0
176	0
2	0
72	0
4	0
3	0
0	228
0	751
0	684
0	511
0	667
0	907
438	0
1081	0
0	0
1	0
2	0
9	0
47	0
31	0
3	0
0	12
0	12
12	0
3	147
0	173
0	144
16	0
0	488
0	472
5	412
712	0
3	0
304	0
0	350
575	350
17	3
14	0
53	0
0	0
64	0
10	4
10	0
302	0
1	0
2	0
5	0
28	0
4	0
30	0
0	0
16	0
59	1
0	0
0	0
7530	0
60	0
2589	0
8	622
0	689
4	514
0	0
122	0
0	0
0	0
90	0
4	8
0	7
32	0
0	0
9	0
4	0
0	0
2	0
8	0
10	0
5	0
0	0
0	0
51	0
88	0
42	25
0	25
0	99
100	99
0	23
31	0
2354	0
2	269
0	240
47	269
0	264
1317	0
787	0
56	0
204	0
3	0
206	0
44	0
51	0
64	0
256	0
208	0
157	0
52	0
44	0
50	0
176	0
59	0
52	0
90	0
70	0
86	0
203	0
130	0
222	0
88	0
31	0
0	104
11	104
76	0
106	0
0	0
0	0
4	0
4761	0
1730	0
0	1036
129	1036
0	223
62	223
19	0
6	0
0	12
5	12
2	0
3	0
0	0
4	0
1	0
774	0
0	319
0	252
43	319
1	0
4972	0
4177	0
974	3038
0	3038
399	0
1111	0
88	0
37	0
11	0
18	0
65	0
5	2
13	0
6	0
4	0
2297	0
0	0
0	0
17	0
2	0
0	3
0	3
0	3
25	0
2	1581
374	1581
1537	0
12	0
1614	0
0	37
16	37
0	177
98	228
0	228
0	2
0	3
0	1
0	3
0	3
0	2
0	2
43	19
0	185
0	228
1	139
3	0
35	1
15	0
886	0
123	0
13	0
0	0
0	0
0	26
75	26
45	0
57	0
0	2097
131	2097
7002	0
54	0
152	0
0	0
2	0
5	0
5	0
1	0
0	19
0	18
0	19
0	2
0	20
0	12
0	13
0	23
0	4
0	1
0	14
0	14
0	2
0	17
0	2
0	18
5	2
0	2
0	2
0	2
0	5
0	15
0	2
0	2
0	2
0	2
0	1
0	9
15	0
13	0
27	0
10	0
498	6
41	0
1032	1112
0	1112
57	0
13	0
30	0
0	0
73	53
50	0
2978	0
8	0
3	0
14	0
2215	18
0	18
134	263
0	264
7	200
0	410
0	554
0	1421
0	1526
0	1543
0	1621
0	1638
146	0
1058	0
16	171
4	307
0	316
0	300
1061	0
170	0
86	0
3	0
1	0
5	0
28	0
1	0
0	0
3	0
3398	0
59	0
6	0
1	0
3	0
9	0
1	0
196	0
2358	0
836	0
4232	0
45	0
2	0
4	0
2	0
170	0
37	0
785	0
4196	0
127	0
1591	0
3648	0
276	2312
1225	2312
191	0
1	0
0	60
67	60
27	0
3	0
22	0
6	0
1	4
0	4
11	0
0	0
544	0
3	0
2	254
187	254
80	0
209	0
229	0
0	291
80	291
2993	0
2288	0
903	0
0	0
4	0
3	0
14	0
5	0
21	0
25	0
4390	0
62	0
6	0
5	0
24	0
13	0
1	0
28	16
13	0
1993	1699
35	6
29	0
5	0
0	0
2634	0
0	1295
