transcript	#geneID
RNA4	gene2
RNA5	gene3
RNA6	gene4
RNA7	gene5
RNA8	gene6
RNA9	gene7
RNA10	gene8
RNA11	gene9
RNA12	gene10
RNA17	gene12
RNA18	gene13
RNA20	gene13
RNA22	gene14
RNA23	gene14
RNA25	gene15
RNA28	gene16
RNA32	gene17
RNA33	gene18
RNA34	gene19
RNA35	gene19
RNA36	gene20
RNA37	gene20
RNA38	gene20
RNA39	gene20
RNA40	gene21
RNA43	gene23
RNA42	gene22
RNA44	gene24
RNA45	gene24
RNA46	gene25
RNA50	gene25
RNA52	gene25
RNA53	gene26
RNA54	gene27
RNA56	gene28
RNA57	gene28
RNA58	gene28
RNA60	gene29
RNA62	gene31
RNA63	gene32
RNA64	gene32
RNA76	gene34
RNA65	gene33
RNA67	gene33
RNA68	gene33
RNA69	gene33
RNA77	gene35
RNA78	gene36
RNA79	gene37
RNA82	gene38
RNA83	gene39
RNA84	gene39
RNA85	gene40
RNA86	gene41
RNA87	gene42
RNA89	gene44
RNA90	gene45
RNA93	gene47
RNA96	gene50
RNA97	gene51
RNA98	gene52
RNA99	gene53
RNA100	gene54
RNA101	gene55
RNA102	gene56
RNA103	gene56
RNA104	gene57
RNA107	gene57
RNA109	gene58
RNA110	gene58
RNA111	gene59
RNA112	gene60
RNA116	gene61
RNA117	gene61
RNA120	gene62
RNA121	gene63
RNA122	gene64
RNA123	gene65
RNA124	gene65
RNA126	gene66
RNA127	gene66
RNA128	gene67
RNA129	gene67
RNA130	gene68
RNA131	gene68
RNA132	gene68
RNA133	gene68
RNA134	gene68
RNA135	gene68
RNA136	gene69
RNA137	gene70
RNA138	gene70
RNA139	gene71
RNA140	gene72
RNA141	gene73
RNA143	gene74
RNA144	gene75
RNA145	gene75
RNA146	gene76
RNA147	gene76
RNA148	gene77
RNA149	gene77
RNA150	gene78
RNA151	gene79
RNA156	gene81
RNA152	gene80
RNA153	gene80
RNA161	gene82
RNA162	gene83
RNA163	gene84
RNA164	gene84
RNA165	gene85
RNA166	gene86
RNA167	gene86
RNA168	gene87
RNA172	gene87
RNA175	gene89
RNA176	gene89
RNA177	gene89
RNA178	gene90
RNA179	gene90
RNA180	gene91
RNA182	gene93
RNA183	gene93
RNA184	gene93
RNA185	gene93
RNA186	gene93
RNA187	gene93
RNA188	gene93
RNA189	gene94
RNA190	gene94
RNA191	gene94
RNA192	gene95
RNA194	gene96
RNA195	gene97
RNA196	gene97
RNA197	gene97
RNA198	gene97
RNA199	gene98
RNA200	gene99
RNA201	gene100
RNA203	gene101
RNA207	gene102
RNA208	gene103
RNA209	gene104
RNA210	gene105
RNA211	gene106
RNA212	gene107
RNA213	gene108
RNA216	gene109
RNA217	gene109
RNA219	gene110
RNA220	gene110
RNA221	gene110
RNA222	gene110
RNA226	gene110
RNA227	gene111
RNA230	gene112
RNA233	gene113
RNA234	gene114
RNA235	gene115
RNA237	gene116
RNA238	gene117
RNA240	gene118
RNA241	gene119
RNA243	gene121
RNA244	gene122
RNA245	gene123
RNA246	gene124
RNA247	gene125
RNA249	gene127
RNA250	gene128
RNA253	gene129
RNA254	gene130
RNA255	gene131
RNA256	gene132
RNA257	gene132
RNA258	gene133
RNA259	gene133
RNA262	gene134
RNA263	gene135
RNA264	gene136
RNA265	gene136
RNA266	gene136
RNA268	gene137
RNA269	gene137
RNA270	gene137
RNA271	gene138
RNA272	gene139
RNA273	gene139
RNA274	gene139
RNA275	gene140
RNA276	gene140
RNA278	gene141
RNA279	gene142
RNA282	gene143
RNA283	gene144
RNA284	gene145
RNA285	gene146
RNA286	gene146
RNA291	gene148
RNA292	gene149
RNA295	gene150
RNA296	gene150
RNA306	gene151
RNA307	gene152
RNA311	gene154
RNA312	gene154
RNA313	gene155
RNA314	gene156
RNA315	gene157
RNA316	gene158
RNA317	gene158
RNA318	gene159
RNA319	gene159
RNA320	gene159
RNA321	gene160
RNA323	gene161
RNA324	gene162
RNA325	gene162
RNA326	gene163
RNA327	gene164
RNA328	gene164
RNA329	gene164
RNA330	gene164
RNA331	gene165
RNA332	gene165
RNA333	gene166
RNA334	gene167
RNA335	gene168
RNA336	gene168
RNA337	gene169
RNA338	gene169
RNA339	gene169
RNA341	gene170
RNA342	gene170
RNA343	gene171
RNA344	gene171
RNA345	gene171
RNA346	gene171
RNA347	gene172
RNA348	gene173
RNA352	gene175
RNA353	gene175
RNA349	gene174
RNA350	gene174
RNA351	gene174
RNA355	gene176
RNA357	gene177
RNA360	gene178
RNA361	gene179
RNA364	gene179
RNA365	gene180
RNA366	gene180
RNA367	gene180
RNA370	gene181
RNA371	gene182
RNA372	gene182
RNA373	gene182
RNA374	gene183
RNA375	gene184
RNA376	gene185
RNA377	gene186
RNA378	gene187
RNA379	gene187
RNA382	gene187
RNA383	gene187
RNA385	gene187
RNA386	gene188
RNA387	gene188
RNA388	gene189
RNA389	gene190
RNA390	gene190
RNA391	gene190
RNA392	gene190
RNA393	gene190
RNA396	gene193
RNA397	gene194
