UniqueCount	AmbigCount
91	0
20	0
427	0
231	0
51	0
0	0
39511	0
481	0
1	0
3208	1
0	37
1	37
0	860
42	860
344	0
106	0
521	0
200	0
2	15
0	15
1	312
0	304
5	304
7	312
264	1
256	0
354	0
65	277
0	277
0	284
7	250
0	215
51	0
259	0
15	509
111	509
0	509
1505	32
367	0
13	209
16	209
103	0
0	1201
38	1143
34	1010
165	1080
572	0
156	0
797	0
11	0
292	352
0	352
30	0
162	0
569	0
114	0
101	0
1010	0
6	0
5980	0
251	0
36	0
136	0
271	0
3	148
3	148
151	881
0	881
0	8
0	8
156	0
172	0
56	289
0	289
236	0
722	0
21	0
0	257
12	257
0	116
24	116
36	66
0	66
7	333
0	363
0	385
0	361
0	393
9	411
409	0
14	9
0	9
144	0
370	0
497	0
53	0
0	582
22	582
0	314
73	314
0	79
20	79
456	0
245	0
293	0
4	68
2	68
0	0
10	0
27	82
0	82
0	0
0	4
3	4
35	265
5	265
2	51
7	51
24	9
0	502
80	502
2	0
5	2015
0	2158
5	2015
48	1962
1	1965
0	1962
2	1965
163	563
7	563
22	563
53	0
338	0
110	359
85	335
13	359
7	335
53	0
19	0
572	0
118	0
155	0
202	0
115	0
722	0
277	0
84	0
89	0
363	2774
0	2774
2	167
0	167
0	158
1	144
0	111
51	0
213	0
162	0
52	0
15	0
542	0
145	0
621	0
721	0
148	0
360	0
65	0
1538	0
175	0
2	0
548	0
206	0
213	0
619	0
13	59
23	59
405	1592
0	1592
127	0
63	0
16	50
2	50
0	37
3	301
75	264
53	292
403	0
0	1252
6	1172
66	1215
52	1052
385	1052
1	0
72	0
24	0
555	0
190	0
190	1794
113	1794
5	0
299	0
0	527
179	527
109	0
405	0
29	490
2	490
112	0
2	0
41	0
44	636
29	636
22	532
1	532
4	489
454	0
1668	0
4	291
14	291
862	0
44	472
34	451
3	419
2	398
107	299
0	299
4	0
6	0
40	252
0	252
0	1263
11	1208
10	1237
31	285
46	285
0	421
0	415
0	424
0	418
3810	0
1142	0
530	2172
585	2172
0	720
2	672
30	719
293	0
435	0
593	0
61	399
1	399
0	40
15	40
1	40
8	0
0	145
13	145
0	141
92	0
145	0
249	0
182	0
0	295
4	250
4	291
0	270
0	256
15	68
0	68
88	0
77	898
0	952
21	902
0	775
0	566
1	0
11	0
64	219
0	219
1268	0
143	0
18	861
53	861
4	0
241	0
100	1583
60	1583
45	378
13	378
4	358
31	358
0	163
0	144
4	145
0	158
16	42
0	42
210	581
0	581
252	0
292	0
0	49
5	49
238	0
11	522
66	522
21	449
0	0
100	0
212	0
433	0
192	0
14	161
0	161
4	259
4	259
85	0
51	838
2	1062
38	1014
0	832
0	848
0	739
2	255
59	255
0	341
0	336
7	316
1	328
0	320
25	0
297	0
0	412
16	392
1	369
115	393
5	352
445	0
549	0
225	0
53	487
0	496
75	419
232	0
301	0
371	0
823	0
14	0
7	0
0	0
331	0
5	374
15	374
532	0
0	2200
108	2171
12	2065
16	1913
435	890
0	890
0	398
76	398
1295	0
1935	0
9	60
0	60
421	0
212	0
457	0
1525	0
562	0
110	0
0	0
0	0
453	0
3	0
2	0
0	0
2	0
100	0
2	439
53	439
0	11
0	11
21	996
0	1040
0	1087
4	160
69	160
0	266
6	266
0	293
0	296
0	292
12	292
0	256
751	0
11	355
0	355
159	0
36	107
0	107
166	0
138	273
0	273
31	0
4	582
0	581
52	582
262	0
505	0
0	0
654	0
87	7
502	0
35	259
0	259
7	0
10	1429
15	1451
5	1439
11	1412
3	1454
0	1474
0	1445
0	1431
466	0
0	132
69	132
63	0
31	0
1	181
10	181
1311	0
285	0
181	0
169	0
28	5
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
3	60
3	60
107	0
172	0
441	0
31	0
409	0
252	0
4153	0
29	130
0	130
328	0
676	0
20	0
80	0
213	0
28	2230
0	2230
8	717
46	717
217	0
47	0
149	0
368	0
1	0
710	0
1382	0
128	0
1255	0
318	0
219	0
435	0
184	0
100	0
394	0
301	0
