UniqueCount	AmbigCount
508	0
1	0
725	0
580	0
7	0
2	0
20	0
928	0
10	0
7375	2
2	126
5	126
13	1642
118	1642
519	0
197	0
880	1
171	0
6	21
0	21
3	855
4	836
18	837
30	855
747	6
643	0
767	0
174	572
0	572
0	696
24	594
0	488
108	0
866	0
25	970
199	970
0	965
3383	6
517	0
33	315
39	315
242	0
4	3596
110	3427
110	3066
530	3227
865	0
424	0
1751	0
1	0
692	702
0	702
0	0
1	0
1961	0
127	0
136	0
2740	0
8	0
10808	0
641	0
0	0
251	0
235	0
31	143
16	143
730	2455
0	2455
0	0
0	0
169	0
245	0
54	415
0	415
470	0
2639	0
18	0
0	314
8	314
0	103
3	103
18	23
0	23
6	469
0	563
0	589
0	542
1	617
11	642
2	0
0	11
0	11
322	0
683	0
1105	0
15	0
0	969
32	969
0	843
56	843
0	285
19	285
1228	0
543	0
185	0
26	82
2	82
0	0
9	0
38	171
0	171
2	0
0	21
3	21
108	626
20	626
8	224
34	224
62	87
0	177
74	177
5	0
9	3912
0	4084
31	3912
184	3622
3	3627
1	3622
11	3627
336	1311
27	1311
36	1310
104	0
500	0
248	751
205	679
48	751
12	679
122	0
0	0
1439	0
143	0
266	0
10	0
0	0
1125	0
433	0
74	0
15	0
532	2425
0	2425
3	338
0	352
0	320
20	325
5	262
85	0
536	0
424	0
54	0
8	0
939	0
121	0
1289	0
1798	0
222	0
695	0
51	0
3584	0
471	0
2	0
403	0
90	0
470	0
1427	0
0	3
6	3
1188	3931
0	3931
82	0
87	0
0	1
0	1
0	0
8	1272
215	1131
175	1258
743	0
0	3125
74	2897
171	3067
171	3098
1181	3098
20	0
506	0
874	0
1216	0
292	0
398	3029
144	3029
10	0
1268	0
0	4460
1185	4460
285	0
1205	0
89	667
11	667
231	0
0	0
126	0
70	1217
49	1217
44	1805
7	1805
17	1715
622	0
3354	0
6	258
30	258
2503	0
56	934
82	911
19	854
3	831
160	272
0	272
3	0
0	0
151	483
0	483
0	2092
19	2021
12	2010
119	204
85	204
0	712
0	717
0	716
0	721
8852	0
3148	0
257	2969
230	2969
12	2011
5	1844
35	1999
704	0
1134	0
854	0
141	1206
2	1206
9	103
10	103
3	103
15	0
0	177
1	177
1	177
185	0
294	0
312	0
141	0
0	517
7	412
1	507
0	494
0	481
15	49
0	49
339	0
381	3019
0	3187
95	3049
0	2640
0	2094
