UniqueCount	AmbigCount
0	0
6	0
1	3
7	0
0	0
3	0
4871	0
11	0
435	0
14	0
18	0
10	1
222	0
0	0
0	0
0	0
0	0
5	3
24	1
1	0
0	0
0	0
484	0
0	0
3	0
0	0
25	0
0	0
0	0
193	0
3	0
10	0
9	0
2	0
0	0
0	0
0	15
1	0
0	0
0	7
9	7
37	0
0	1
0	0
1	0
0	0
36	0
226	0
0	0
859	0
3	0
2075	0
7	836
0	837
0	815
0	837
0	836
0	445
0	451
7	451
115	0
27	0
1932	0
1	1423
139	1423
1	40
0	40
0	735
106	547
138	735
0	705
129	705
0	1351
0	1383
0	1456
0	1488
1931	0
1	296
0	318
2	503
0	18
64	18
4	335
0	319
217	335
8596	0
1	55
53	55
2	32
0	54
0	55
24	0
2467	0
565	0
0	0
766	0
0	0
32	0
1409	0
159	0
735	0
0	0
27	0
0	16
5	16
394	0
19	0
739	0
0	8
0	8
1096	0
0	282
118	282
682	0
367	0
0	638
0	839
0	683
0	809
0	859
0	985
11138	0
496	0
530	0
1	10
0	12
0	16
493	0
977	0
0	456
74	456
755	0
3	0
3	0
1	0
20	0
171	0
1167	0
1488	0
0	4023
0	7203
356	7203
0	2863
495	2863
1714	1
33	0
0	0
0	0
120	0
419	0
321	0
1708	0
26	0
458	0
1309	0
0	484
0	531
0	645
474	0
829	0
11760	0
366	0
90	0
567	0
8	343
775	343
75	321
0	269
0	322
0	238
108	238
1676	0
829	0
617	0
1502	0
0	352
458	352
15	320
1600	0
9	4227
0	3151
147	4227
408	0
3696	0
0	931
0	658
0	885
0	1038
0	964
0	993
0	930
0	1009
4	0
191	34
1	34
0	34
971	0
5	59
0	35
91	59
35	432
0	360
0	432
811	0
0	6
1	11
1	15
0	20
6	20
895	0
133	0
9	0
871	0
0	598
0	779
6	517
5954	0
1327	0
0	0
1923	0
783	0
4383	0
5288	0
0	307
224	307
0	8
2	8
207	0
2472	11620
0	11620
44	0
1	0
11	0
1	0
199	0
51	0
0	0
1314	0
0	0
65	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
18	0
1	1
0	0
5	0
0	972
170	972
11	0
17	0
4	0
0	0
0	0
0	0
343	4310
0	4481
7	3734
3010	0
9	0
432	0
260	0
371	0
31	0
79	0
1289	0
0	144
0	160
3	160
351	0
230	0
1	0
9	0
6	0
4	0
21	0
12	0
127	51
7	0
1	0
0	496
753	496
15111	0
0	0
4	0
197	6
0	0
282	6
0	0
6	5
1	0
0	645
167	645
4390	0
2	71
8	71
508	0
2	0
9	0
9	0
4	4
4	0
0	6
1	6
72	0
0	0
0	3
35	3
26	0
0	0
211	1
0	1
524	0
286	0
0	1482
0	1530
0	1497
8	1526
0	1615
0	1504
0	1641
73	0
0	0
0	0
1	0
0	0
0	0
0	0
0	1
0	0
492	0
2	0
49	0
18	0
1063	0
0	0
7	0
0	0
1046	0
186	0
1498	0
0	161
57	161
12	143
1028	0
319	0
125	0
1564	0
680	0
0	303
80	303
0	119
109	119
3950	0
1304	0
0	0
9	0
0	9218
297	9218
2233	0
0	1
5	1
13	0
436	15
8	0
0	22
0	23
0	21
0	23
1	0
1098	0
0	0
30	0
0	243
23	243
111	0
1	0
214	0
0	470
133	470
2	315
19	315
3	0
2	290
27	290
52	290
5192	0
898	0
0	0
0	0
1	0
0	0
57	240
4	240
290	0
1	587
74	587
244	0
3	13
0	0
0	0
0	0
1538	0
777	0
0	0
978	0
1030	0
1	0
0	0
0	3
3	3
0	0
0	0
7	0
0	0
0	0
0	1
1	1
0	1
0	2
0	2
4	0
1	0
10	0
0	7
0	6
0	7
13	0
16	0
7	0
1	0
9	0
0	0
0	0
0	0
6	0
0	0
5	0
8	0
0	0
0	0
0	0
0	0
2	0
3	0
0	0
0	0
18	11
0	3
2	3
38	0
2901	0
133	0
4215	1
27	119
0	119
263	0
0	3550
103	3259
9	3012
0	3560
6	0
28	0
888	0
2	57
75	57
1	3
35	3
0	0
0	0
4	0
156	0
1187	34
96	1819
1	3
2	3
246	0
0	15
1	18
2	18
70	0
164	0
2639	3699
476	0
0	54
0	92
0	33
655	92
0	24
184	24
0	144
1387	144
0	1580
3600	1580
495	0
579	0
1244	0
898	0
0	0
120	0
8	1504
0	1453
0	1503
1	1504
5	0
10	0
598	0
0	591
1	591
0	495
429	0
0	12
16	12
0	0
13	0
0	4
1	4
4392	0
3953	0
0	0
0	0
33	0
643	0
2424	0
61	0
0	1
1	1
2237	0
1445	0
1127	0
809	0
944	0
1568	0
0	144
74	144
1939	0
12	0
0	93
49	93
17	213
70	213
19	1258
387	1281
0	1247
1950	0
0	1
0	1
0	1
0	247
2	298
11	394
9	394
0	393
48	0
3	0
1	0
73	0
3	0
1	0
57	0
197	1271
52	1271
2	180
601	180
498	22
13	0
5	0
2	0
2	0
0	0
5	0
2	0
0	0
0	2
1	0
6	0
20	0
12	0
12	0
4	0
3	0
18	0
1	0
50	5
0	0
2	0
67	0
0	0
957	0
49	0
0	104
21	104
42	2020
295	2020
1	476
18	476
798	0
0	0
1	0
0	0
1	0
0	312
221	312
125	0
102	0
678	114
19	114
54	5
796	0
5	92
40	92
371	0
14228	0
22	0
0	2
13	2
0	22
0	22
14	44
44	0
431	0
14	0
0	1269
0	1073
0	1303
108	1282
0	1318
0	1
0	1
0	1
0	0
2	0
0	14
23	14
1	53
4	53
3	16
1	14
16	16
3306	0
16	0
3	0
24	0
236	0
692	2
597	0
63	0
4273	0
918	0
1067	0
0	73
26	73
2	0
0	0
65	0
0	0
0	0
196	13
173	0
760	0
0	0
676	0
0	0
0	0
41	24
17	0
4	1
0	1
9	0
0	0
192	0
5	0
0	0
11	0
13	3
364	0
2	2
196	198
0	0
34	0
4631	0
0	26
0	25
0	26
1	583
57	583
42	0
0	71
0	71
0	3276
1	1154
21	3130
958	3679
5082	0
286	268
612	0
9	685
235	685
136	0
1	0
419	0
0	0
0	0
10	0
20	0
1	0
2	0
132	0
3	0
18	0
0	1
3	0
0	0
0	0
0	0
405	0
122	0
0	0
0	0
4	0
0	0
16	0
0	0
2	0
805	0
50	0
3	0
0	37
1	37
0	37
516	0
509	0
2	1018
212	1018
386	1052
407	0
7	0
257	0
0	175
25	175
1869	0
872	0
515	0
1874	0
0	437
153	759
1	885
185	0
1550	0
362	0
1399	0
0	1271
46	1271
987	0
614	0
5988	0
1944	0
93	0
1	0
19	0
0	0
2	0
3	0
0	0
26	0
22	0
40	0
0	62
6	62
341	0
1024	0
0	1318
168	1318
24	26
59	558
0	654
57	652
0	0
0	1
0	1
0	0
0	253
0	3
0	3
0	1
7	250
1	0
870	0
12	0
0	4
9	4
82	0
0	940
0	755
90	925
0	1174
0	1322
104	1322
3155	0
0	4512
6	4512
0	0
6	0
0	0
0	0
6	0
0	1
914	0
33	0
6	0
269	0
277	0
0	529
1802	529
400	0
2092	0
4651	0
354	0
5	0
331	431
122	431
35	237
6	179
0	237
309	0
731	0
3	466
0	466
3	23
0	23
0	970
0	1393
0	1109
1	1393
5	68
261	68
16	0
108	0
0	348
7	348
0	1202
227	1202
2115	0
0	15
0	16
0	19
0	33
3	60
5	60
51	0
676	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
12	0
340	0
0	9
2	9
936	0
157	0
1372	0
0	1354
267	1354
0	3672
0	3064
208	3672
1444	1
0	1
1052	0
4175	0
549	0
389	0
2997	0
0	21
0	21
881	0
1575	0
0	3541
1011	3541
1550	0
2181	0
4031	0
1480	0
1491	0
13	0
990	0
1693	0
1004	0
428	0
186	0
1228	0
2	235
0	220
9	235
0	223
891	0
0	211
77	211
0	328
0	412
9	237
6258	0
2934	0
2636	1
3613	0
163	0
139	0
2	0
0	11
2	11
0	0
1131	0
0	0
1399	0
5	0
4	0
246	0
436	0
1	602
0	603
0	618
0	587
215	0
901	0
294	0
9	0
1	0
0	0
0	0
1331	791
2	38
42	38
84	0
196	0
356	0
75	0
365	0
389	0
4094	27
1038	0
5159	0
0	3
2	3
26	0
0	0
5	0
6	0
414	0
0	37
0	38
6	38
0	0
15	0
0	233
1865	233
0	1026
0	966
0	1159
0	1099
419	77
1439	0
3446	0
67	0
2447	0
1351	0
3652	0
269	0
17	0
16	0
3	79
174	27
0	430
227	430
1264	0
0	657
749	657
0	1318
1	1094
0	1634
418	1634
74	1030
62	1030
0	25
26	101
626	101
1506	0
18	7
8	0
0	14
6	14
0	16
7	17
13	0
0	1
6	39
0	37
0	26
24	39
1	0
1	0
4	0
0	1
0	0
6	0
5	0
890	0
11	0
3	0
53	0
3	1
1	0
0	0
1	0
0	0
1	0
2	0
