Cbir_RNA25344_R1	gene_0
Nvit_RNA6354_R9	gene_1
Lhum_RNA12785_R8	gene_2
Lhum_RNA1579_R7	gene_3
Mpha_RNA20917_R8	gene_4
Dmel_RNA11423_R1	gene_5
Sinv_RNA10372_R9	gene_6
Nvit_RNA17087_R0	gene_7
Cbir_RNA5035_R0	gene_8
Sinv_RNA5_R0	gene_9
Mpha_RNA9844_R1	gene_10
Nvit_RNA20226_R0	gene_11
Amel_RNA28253_R1	gene_12
Cbir_RNA15447_R7	gene_13
Cbir_RNA12095_R5	gene_14
Mpha_RNA14989_R0	gene_15
Mpha_RNA10849_R1	gene_16
Sinv_RNA17849_R3	gene_17
Sinv_RNA11008_R2	gene_18
Sinv_RNA14292_R2	gene_19
Sinv_RNA5261_R1	gene_20
Sinv_RNA11_R0	gene_21
Cbir_RNA1151_R8	gene_22
Sinv_RNA14_R0	gene_23
Cbir_RNA24117_R2	gene_24
Sinv_RNA18905_R7	gene_25
Sinv_RNA18081_R5	gene_26
Sinv_RNA19020_R1	gene_27
Sinv_RNA18_R0	gene_28
Sinv_RNA5203_R5	gene_29
Dqua_RNA9893_R1	gene_30
Sinv_RNA20_R1	gene_31
Sinv_RNA20_R0	gene_32
Sinv_RNA11051_R6	gene_33
Sinv_RNA23_R0	gene_34
Sinv_RNA21_R0	gene_35
Sinv_RNA9707_R1	gene_36
Sinv_RNA22_R0	gene_37
Sinv_RNA21840_R6	gene_38
Sinv_RNA24_R0	gene_39
Sinv_RNA9937_R1	gene_40
Sinv_RNA25_R0	gene_41
Dmel_RNA28642_R1	gene_41
Dmel_RNA28151_R1	gene_42
Aech_RNA5103_R1	gene_43
Lhum_RNA7883_R6	gene_44
Sinv_RNA27_R0	gene_45
Sinv_RNA17652_R2	gene_46
Cbir_RNA7708_R3	gene_47
Cbir_RNA21347_R0	gene_48
Sinv_RNA33_R0	gene_49
Sinv_RNA34_R0	gene_50
Sinv_RNA35_R0	gene_51
Sinv_RNA36_R0	gene_52
Sinv_RNA37_R0	gene_53
Sinv_RNA39_R0	gene_54
Mpha_RNA15954_R0	gene_54
Amel_RNA21792_R0	gene_54
Lhum_RNA22668_R0	gene_55
Sinv_RNA51_R0	gene_56
Lhum_RNA10039_R0	gene_56
Sinv_RNA57_R0	gene_57
