Dqua_RNA0_R0	gene_0
Aech_RNA10635_R6	gene_1
Dqua_RNA22019_R1	gene_2
Dqua_RNA1_R0	gene_3
Dqua_RNA12757_R1	gene_4
Dqua_RNA12373_R3	gene_5
Amel_RNA27836_R7	gene_6
Sinv_RNA17374_R6	gene_7
Dqua_RNA4_R0	gene_8
Dqua_RNA22027_R2	gene_9
Lhum_RNA44_R7	gene_10
Amel_RNA14275_R0	gene_11
Dqua_RNA22_R0	gene_11
Aech_RNA2248_R0	gene_11
Sinv_RNA11297_R0	gene_11
Cbir_RNA5185_R2	gene_11
Cbir_RNA5186_R2	gene_11
Sinv_RNA10836_R0	gene_12
Aech_RNA21885_R1	gene_13
Dqua_RNA25_R0	gene_14
Dqua_RNA32_R0	gene_15
Dqua_RNA31_R0	gene_15
Lhum_RNA11592_R0	gene_15
Dqua_RNA7377_R5	gene_16
Aech_RNA10264_R8	gene_17
Amel_RNA14273_R0	gene_18
Dqua_RNA28_R0	gene_19
Dqua_RNA33_R0	gene_20
Lhum_RNA11593_R0	gene_20
Dqua_RNA34_R0	gene_21
Dqua_RNA35_R0	gene_21
Cbir_RNA21135_R7	gene_22
Aech_RNA20355_R3	gene_23
Sinv_RNA17436_R9	gene_24
Mpha_RNA2665_R5	gene_24
Dqua_RNA0_R2	gene_25
Mpha_RNA5357_R8	gene_26
Dqua_RNA37_R1	gene_27
Dqua_RNA19364_R3	gene_28
Sinv_RNA21594_R4	gene_29
Aech_RNA19633_R6	gene_30
Aech_RNA10264_R1	gene_31
Aech_RNA19856_R0	gene_32
Dmel_RNA11301_R0	gene_33
Sinv_RNA16628_R1	gene_34
Sinv_RNA5390_R8	gene_35
Aech_RNA6721_R4	gene_36
Dqua_RNA17396_R7	gene_37
Aech_RNA3549_R1	gene_38
Dqua_RNA5074_R2	gene_39
Aech_RNA7739_R1	gene_40
Dqua_RNA22112_R3	gene_41
Aech_RNA17814_R2	gene_42
Sinv_RNA18948_R1	gene_43
Mpha_RNA1131_R5	gene_44
Dqua_RNA1_R3	gene_45
Dqua_RNA3440_R3	gene_46
Sinv_RNA9069_R2	gene_47
Dqua_RNA1568_R8	gene_48
Aech_RNA9014_R0	gene_49
Lhum_RNA411_R5	gene_50
Cbir_RNA18628_R0	gene_51
Dqua_RNA43_R0	gene_52
