Cbir_RNA3_R0	gene_0
Cbir_RNA4_R0	gene_1
Lhum_RNA6507_R0	gene_2
Nvit_RNA18254_R0	gene_3
Lhum_RNA2111_R5	gene_4
Cbir_RNA0_R0	gene_5
Lhum_RNA8751_R3	gene_6
Sinv_RNA15525_R0	gene_7
Cbir_RNA2_R0	gene_8
Cbir_RNA7444_R7	gene_9
Lhum_RNA2_R3	gene_10
Cbir_RNA7_R0	gene_11
Sinv_RNA21827_R1	gene_12
Sinv_RNA14361_R1	gene_13
Cbir_RNA9_R0	gene_14
Cbir_RNA10_R0	gene_14
Cbir_RNA18137_R1	gene_15
Cbir_RNA11018_R5	gene_16
Cbir_RNA1175_R2	gene_17
Cbir_RNA15442_R1	gene_18
Lhum_RNA6492_R0	gene_19
Cbir_RNA15_R0	gene_20
Mpha_RNA7100_R0	gene_21
Mpha_RNA1039_R0	gene_22
Lhum_RNA15134_R3	gene_23
Cbir_RNA18140_R5	gene_24
Sinv_RNA21866_R4	gene_25
Cbir_RNA8_R0	gene_26
Cbir_RNA14_R0	gene_27
Nvit_RNA6094_R4	gene_28
Cbir_RNA13_R0	gene_29
Cbir_RNA11_R0	gene_29
Lhum_RNA8_R5	gene_29
Sinv_RNA12014_R0	gene_30
Cbir_RNA6922_R2	gene_31
Sinv_RNA14361_R7	gene_32
Cbir_RNA16_R0	gene_33
Cbir_RNA18_R0	gene_34
Sinv_RNA5390_R4	gene_35
Aech_RNA1369_R1	gene_36
Cbir_RNA23012_R3	gene_37
Cbir_RNA9767_R1	gene_38
Aech_RNA988_R0	gene_39
Dmel_RNA32940_R1	gene_40
Cbir_RNA48_R0	gene_41
Amel_RNA8331_R1	gene_41
Nvit_RNA9792_R0	gene_41
Sinv_RNA20835_R0	gene_42
Nvit_RNA9789_R0	gene_43
Cbir_RNA54_R0	gene_44
Cbir_RNA59_R0	gene_45
Mpha_RNA13663_R0	gene_45
Cbir_RNA65_R0	gene_46
Lhum_RNA21109_R0	gene_46
Cbir_RNA67_R0	gene_47
Lhum_RNA21113_R0	gene_47
Amel_RNA7563_R0	gene_47
Cbir_RNA76_R0	gene_48
Cbir_RNA87_R0	gene_49
Cbir_RNA95_R0	gene_50
Aech_RNA10033_R0	gene_50
Cbir_RNA97_R0	gene_51
Lhum_RNA21176_R2	gene_51
Cbir_RNA99_R0	gene_52
Cbir_RNA98_R1	gene_53
Cbir_RNA22_R1	gene_54
Cbir_RNA21_R0	gene_55
Cbir_RNA20_R0	gene_56
Cbir_RNA2502_R1	gene_57
Cbir_RNA7815_R2	gene_58
Cbir_RNA19_R0	gene_59
Lhum_RNA1035_R1	gene_60
Lhum_RNA9712_R1	gene_61
Lhum_RNA5086_R1	gene_62
Cbir_RNA2500_R6	gene_63
Cbir_RNA23_R0	gene_64
Mpha_RNA9784_R0	gene_65
Cbir_RNA23012_R6	gene_66
Sinv_RNA18506_R3	gene_67
Cbir_RNA25_R0	gene_68
Cbir_RNA26_R0	gene_69
Cbir_RNA27_R0	gene_70
Cbir_RNA29_R0	gene_71
Cbir_RNA31_R0	gene_72
Dqua_RNA5032_R0	gene_73
Cbir_RNA33_R0	gene_74
Cbir_RNA36_R0	gene_75
Cbir_RNA37_R0	gene_75
Amel_RNA8778_R0	gene_75
Dmel_RNA7304_R0	gene_75
Cbir_RNA39_R0	gene_76
Cbir_RNA41_R0	gene_77
Amel_RNA8345_R0	gene_77
Cbir_RNA44_R0	gene_78
Cbir_RNA45_R0	gene_79
Cbir_RNA49_R0	gene_80
Cbir_RNA51_R0	gene_81
Cbir_RNA55_R0	gene_82
Cbir_RNA57_R0	gene_83
Cbir_RNA8913_R2	gene_83
Cbir_RNA58_R0	gene_84
Cbir_RNA61_R0	gene_85
Cbir_RNA60_R0	gene_86
Cbir_RNA66_R0	gene_87
Cbir_RNA68_R0	gene_88
Cbir_RNA80_R0	gene_89
Cbir_RNA81_R0	gene_90
Cbir_RNA82_R0	gene_91
Cbir_RNA84_R0	gene_92
Dmel_RNA13384_R0	gene_92
Lhum_RNA11399_R0	gene_93
Cbir_RNA90_R0	gene_93
Dmel_RNA6363_R8	gene_94
Mpha_RNA232_R0	gene_95
Cbir_RNA93_R0	gene_96
Cbir_RNA94_R0	gene_97
Cbir_RNA96_R0	gene_98
Sinv_RNA179_R0	gene_99
Lhum_RNA1168_R0	gene_99
Cbir_RNA105_R0	gene_99
Sinv_RNA180_R0	gene_99
Dmel_RNA12014_R0	gene_99
Cbir_RNA109_R0	gene_100
Amel_RNA2140_R0	gene_100
Lhum_RNA1162_R0	gene_100
Cbir_RNA114_R0	gene_101
Cbir_RNA113_R0	gene_102
Cbir_RNA24779_R7	gene_102
Cbir_RNA115_R0	gene_103
Cbir_RNA16148_R3	gene_104
Cbir_RNA23003_R3	gene_105
Cbir_RNA23849_R6	gene_105
Cbir_RNA6592_R1	gene_105
Cbir_RNA1914_R7	gene_105
Cbir_RNA6409_R6	gene_105
Cbir_RNA6589_R1	gene_105
Nvit_RNA5374_R7	gene_105
Cbir_RNA102_R0	gene_106
Cbir_RNA103_R0	gene_107
Dmel_RNA10427_R1	gene_107
Cbir_RNA110_R0	gene_108
Cbir_RNA111_R0	gene_109
Cbir_RNA112_R0	gene_109
Lhum_RNA2602_R9	gene_110
Cbir_RNA12032_R6	gene_111
Aech_RNA9163_R4	gene_112
Cbir_RNA134_R0	gene_113
Cbir_RNA20822_R7	gene_114
Cbir_RNA21331_R1	gene_115
Cbir_RNA138_R0	gene_116
Dqua_RNA19050_R4	gene_117
Cbir_RNA142_R0	gene_118
Cbir_RNA4884_R9	gene_119
Nvit_RNA25427_R7	gene_120
Aech_RNA7267_R4	gene_121
Dqua_RNA12597_R7	gene_122
Cbir_RNA8311_R9	gene_123
Cbir_RNA117_R0	gene_124
Lhum_RNA586_R0	gene_125
Nvit_RNA2014_R1	gene_126
Cbir_RNA123_R0	gene_127
Mpha_RNA4031_R7	gene_128
Cbir_RNA135_R0	gene_129
Cbir_RNA20971_R4	gene_130
Sinv_RNA14876_R3	gene_131
Sinv_RNA19251_R5	gene_132
Dqua_RNA22739_R1	gene_133
Cbir_RNA10062_R1	gene_134
Cbir_RNA1648_R5	gene_135
Dqua_RNA4012_R8	gene_136
Cbir_RNA11286_R6	gene_137
Sinv_RNA20309_R0	gene_138
Sinv_RNA12341_R4	gene_139
Lhum_RNA23902_R0	gene_140
Sinv_RNA17662_R2	gene_141
Cbir_RNA145_R0	gene_142
Cbir_RNA146_R1	gene_143
Lhum_RNA15273_R1	gene_143
Sinv_RNA10833_R9	gene_144
Cbir_RNA152_R0	gene_145
Lhum_RNA9601_R1	gene_146
Dqua_RNA21303_R5	gene_147
Sinv_RNA9945_R0	gene_148
Cbir_RNA156_R0	gene_149
Cbir_RNA155_R0	gene_149
Aech_RNA7852_R0	gene_150
Sinv_RNA7399_R3	gene_151
Cbir_RNA20824_R9	gene_152
Sinv_RNA218_R2	gene_153
Cbir_RNA148_R0	gene_154
Amel_RNA20813_R0	gene_154
Dmel_RNA13456_R1	gene_154
Lhum_RNA8299_R1	gene_155
Cbir_RNA24644_R1	gene_156
Cbir_RNA20822_R8	gene_157
Cbir_RNA134_R1	gene_158
Aech_RNA18213_R6	gene_159
Cbir_RNA154_R0	gene_160
Cbir_RNA20774_R9	gene_161
Sinv_RNA17690_R0	gene_162
Cbir_RNA168_R0	gene_163
Cbir_RNA169_R0	gene_164
Mpha_RNA11954_R0	gene_164
Dqua_RNA6133_R1	gene_164
Cbir_RNA172_R0	gene_165
Cbir_RNA23117_R1	gene_165
Cbir_RNA12101_R3	gene_166
Cbir_RNA10820_R4	gene_167
Aech_RNA19779_R0	gene_168
Sinv_RNA19852_R0	gene_169
Nvit_RNA25411_R1	gene_170
Lhum_RNA15977_R0	gene_171
Cbir_RNA175_R0	gene_172
Amel_RNA24749_R0	gene_172
Cbir_RNA177_R0	gene_173
Dmel_RNA33483_R0	gene_173
Cbir_RNA183_R0	gene_174
Cbir_RNA185_R0	gene_175
Cbir_RNA184_R0	gene_175
Mpha_RNA15573_R0	gene_175
Nvit_RNA26022_R0	gene_175
Nvit_RNA26008_R0	gene_175
Cbir_RNA188_R0	gene_176
Sinv_RNA2452_R0	gene_176
Cbir_RNA191_R0	gene_177
Cbir_RNA195_R0	gene_178
Cbir_RNA201_R0	gene_179
Cbir_RNA203_R0	gene_179
Cbir_RNA202_R0	gene_179
Sinv_RNA5417_R0	gene_179
Cbir_RNA206_R0	gene_180
Cbir_RNA207_R0	gene_180
Lhum_RNA13284_R0	gene_180
Mpha_RNA7532_R0	gene_180
Cbir_RNA213_R0	gene_181
Cbir_RNA211_R0	gene_181
Cbir_RNA212_R0	gene_181
Cbir_RNA214_R0	gene_181
Dmel_RNA32186_R0	gene_181
Cbir_RNA219_R0	gene_182
Cbir_RNA221_R0	gene_183
Cbir_RNA222_R0	gene_183
Cbir_RNA225_R0	gene_184
Dmel_RNA17985_R1	gene_184
Cbir_RNA230_R0	gene_185
Cbir_RNA229_R0	gene_186
Cbir_RNA234_R0	gene_187
Cbir_RNA235_R0	gene_188
Amel_RNA23475_R0	gene_189
Cbir_RNA236_R0	gene_190
Dqua_RNA17771_R0	gene_191
Cbir_RNA239_R0	gene_192
Cbir_RNA240_R0	gene_192
Cbir_RNA254_R0	gene_193
Dmel_RNA15012_R2	gene_194
Cbir_RNA256_R0	gene_195
Mpha_RNA5708_R1	gene_196
Cbir_RNA258_R0	gene_197
Cbir_RNA267_R0	gene_198
Sinv_RNA14330_R0	gene_198
Cbir_RNA271_R0	gene_199
Cbir_RNA275_R0	gene_200
Mpha_RNA306_R0	gene_200
Dmel_RNA5814_R0	gene_200
Cbir_RNA278_R0	gene_201
Cbir_RNA281_R0	gene_202
Cbir_RNA282_R0	gene_203
Cbir_RNA283_R0	gene_204
Cbir_RNA285_R0	gene_205
Cbir_RNA286_R0	gene_205
Cbir_RNA292_R0	gene_206
Cbir_RNA293_R0	gene_207
Cbir_RNA294_R0	gene_207
Amel_RNA7502_R0	gene_207
Cbir_RNA296_R0	gene_208
Cbir_RNA298_R0	gene_209
Cbir_RNA302_R0	gene_210
Cbir_RNA301_R0	gene_210
Dqua_RNA4519_R0	gene_210
Amel_RNA20949_R0	gene_210
Dmel_RNA27430_R0	gene_210
Cbir_RNA305_R0	gene_211
Mpha_RNA16087_R0	gene_211
Mpha_RNA21334_R0	gene_211
Mpha_RNA6170_R0	gene_211
Cbir_RNA304_R0	gene_212
Mpha_RNA17562_R0	gene_212
Amel_RNA28715_R4	gene_212
Aech_RNA20719_R2	gene_212
Cbir_RNA306_R0	gene_213
Mpha_RNA13135_R0	gene_214
Cbir_RNA311_R0	gene_215
Dmel_RNA23507_R0	gene_216
Dmel_RNA27934_R2	gene_217
Cbir_RNA329_R0	gene_218
Cbir_RNA331_R0	gene_219
Cbir_RNA333_R0	gene_220
Mpha_RNA19966_R0	gene_220
Aech_RNA14310_R0	gene_220
Cbir_RNA334_R0	gene_221
Lhum_RNA19621_R0	gene_221
Cbir_RNA342_R0	gene_222
Sinv_RNA5780_R0	gene_222
Dmel_RNA30077_R0	gene_222
Amel_RNA20257_R0	gene_223
Dqua_RNA15023_R0	gene_224
Cbir_RNA348_R0	gene_225
Cbir_RNA349_R0	gene_226
Lhum_RNA19631_R0	gene_227
Cbir_RNA352_R0	gene_228
Dmel_RNA15688_R0	gene_229
Sinv_RNA15096_R1	gene_229
Cbir_RNA357_R0	gene_230
Cbir_RNA363_R0	gene_231
Cbir_RNA365_R0	gene_231
Cbir_RNA362_R0	gene_232
Nvit_RNA14678_R0	gene_232
Dmel_RNA10550_R0	gene_232
Sinv_RNA2610_R0	gene_232
Cbir_RNA370_R0	gene_233
Cbir_RNA380_R0	gene_234
Cbir_RNA384_R0	gene_235
Lhum_RNA19656_R0	gene_235
Aech_RNA6564_R0	gene_236
Cbir_RNA387_R0	gene_237
Cbir_RNA393_R0	gene_238
Cbir_RNA396_R0	gene_239
Cbir_RNA397_R0	gene_239
Amel_RNA24968_R0	gene_239
Dmel_RNA33070_R0	gene_239
Cbir_RNA398_R0	gene_240
Aech_RNA16930_R9	gene_241
Dqua_RNA604_R0	gene_242
Cbir_RNA401_R0	gene_243
Cbir_RNA25442_R1	gene_243
Cbir_RNA412_R0	gene_244
Cbir_RNA420_R0	gene_245
Nvit_RNA1782_R0	gene_245
Cbir_RNA424_R0	gene_246
Dmel_RNA20082_R0	gene_246
Cbir_RNA432_R0	gene_247
Cbir_RNA433_R0	gene_248
