Cbir_RNA17330_R5	gene_0
Dmel_RNA32620_R1	gene_1
Mpha_RNA1263_R8	gene_2
Amel_RNA28578_R9	gene_3
Aech_RNA12913_R0	gene_4
Cbir_RNA20773_R3	gene_5
Aech_RNA7077_R2	gene_6
Dqua_RNA8404_R1	gene_7
Mpha_RNA4225_R0	gene_8
Cbir_RNA24538_R2	gene_9
Dqua_RNA23164_R4	gene_10
Aech_RNA22_R0	gene_11
Dqua_RNA2274_R5	gene_12
Sinv_RNA22230_R1	gene_13
Aech_RNA9561_R2	gene_14
Aech_RNA28_R1	gene_15
Aech_RNA29_R1	gene_16
Aech_RNA30_R0	gene_17
Mpha_RNA8661_R1	gene_18
Aech_RNA38_R1	gene_19
Aech_RNA39_R0	gene_20
Aech_RNA17025_R1	gene_21
Sinv_RNA15522_R1	gene_22
Sinv_RNA18503_R1	gene_23
Aech_RNA45_R0	gene_24
Aech_RNA47_R0	gene_25
Aech_RNA52_R0	gene_26
Aech_RNA53_R0	gene_27
Sinv_RNA16950_R0	gene_28
Sinv_RNA1094_R2	gene_28
Dqua_RNA23599_R0	gene_28
Aech_RNA55_R0	gene_29
Aech_RNA59_R0	gene_30
Aech_RNA61_R1	gene_31
Aech_RNA64_R0	gene_32
Aech_RNA67_R0	gene_33
Aech_RNA68_R0	gene_34
Aech_RNA69_R0	gene_35
Aech_RNA70_R0	gene_36
Sinv_RNA1350_R1	gene_37
Aech_RNA72_R0	gene_38
Aech_RNA73_R0	gene_39
Aech_RNA74_R0	gene_40
Amel_RNA13052_R0	gene_41
Aech_RNA77_R0	gene_42
Lhum_RNA18177_R1	gene_43
Sinv_RNA9838_R0	gene_44
Aech_RNA80_R0	gene_45
Aech_RNA81_R0	gene_46
Nvit_RNA15_R8	gene_46
Lhum_RNA6202_R1	gene_47
Aech_RNA85_R0	gene_48
Dqua_RNA11463_R0	gene_48
Cbir_RNA4811_R0	gene_49
Aech_RNA3934_R3	gene_50
Lhum_RNA44_R5	gene_51
Dqua_RNA18313_R3	gene_52
Aech_RNA110_R0	gene_53
Aech_RNA5926_R7	gene_54
Sinv_RNA1557_R0	gene_55
