Nvit_RNA16008_R3	gene_0
Nvit_RNA6093_R4	gene_1
Sinv_RNA18064_R6	gene_2
Sinv_RNA17011_R4	gene_3
Cbir_RNA20807_R3	gene_4
Lhum_RNA2_R0	gene_5
Mpha_RNA14210_R0	gene_5
Mpha_RNA10506_R2	gene_5
Cbir_RNA13_R3	gene_5
Sinv_RNA20307_R9	gene_5
Lhum_RNA21578_R4	gene_5
Nvit_RNA25747_R5	gene_5
Lhum_RNA4_R0	gene_6
Lhum_RNA21480_R1	gene_6
Lhum_RNA2482_R2	gene_6
Lhum_RNA7107_R6	gene_7
Lhum_RNA9_R0	gene_8
Lhum_RNA10_R0	gene_8
Lhum_RNA8_R0	gene_9
Sinv_RNA21684_R4	gene_10
Mpha_RNA2053_R0	gene_11
Sinv_RNA18064_R1	gene_12
Lhum_RNA12_R0	gene_13
Mpha_RNA925_R0	gene_13
Dmel_RNA24352_R0	gene_13
Cbir_RNA20807_R0	gene_14
Lhum_RNA15_R0	gene_15
Lhum_RNA14_R0	gene_15
Sinv_RNA19590_R0	gene_16
Cbir_RNA16234_R4	gene_17
Sinv_RNA22175_R4	gene_18
Lhum_RNA18_R0	gene_19
Lhum_RNA19_R0	gene_20
Lhum_RNA21_R0	gene_21
Amel_RNA14043_R0	gene_21
Dmel_RNA23108_R1	gene_21
Lhum_RNA23_R0	gene_22
Cbir_RNA2030_R0	gene_22
Nvit_RNA2628_R0	gene_22
Lhum_RNA24_R0	gene_23
Lhum_RNA26_R0	gene_24
Cbir_RNA4536_R0	gene_24
Lhum_RNA8232_R5	gene_25
Amel_RNA28650_R2	gene_26
Lhum_RNA22_R0	gene_27
Lhum_RNA25_R0	gene_28
Lhum_RNA17703_R6	gene_29
Sinv_RNA13034_R7	gene_30
Lhum_RNA294_R1	gene_31
Nvit_RNA26411_R5	gene_32
Sinv_RNA11051_R7	gene_33
Aech_RNA7549_R7	gene_34
Cbir_RNA19691_R7	gene_35
Sinv_RNA20263_R2	gene_36
Lhum_RNA29_R0	gene_37
Mpha_RNA8743_R7	gene_38
Sinv_RNA11408_R5	gene_39
Lhum_RNA2169_R9	gene_40
Mpha_RNA10074_R7	gene_41
Cbir_RNA11637_R8	gene_42
Nvit_RNA16008_R8	gene_43
Nvit_RNA16258_R2	gene_44
Nvit_RNA26347_R6	gene_45
Lhum_RNA6849_R5	gene_46
Nvit_RNA25745_R7	gene_47
Lhum_RNA33_R0	gene_48
Mpha_RNA15392_R1	gene_49
Cbir_RNA11359_R6	gene_50
Cbir_RNA15570_R2	gene_51
Lhum_RNA13828_R8	gene_52
Cbir_RNA14386_R3	gene_53
Cbir_RNA1644_R9	gene_54
Cbir_RNA14062_R1	gene_55
Nvit_RNA26114_R6	gene_56
Mpha_RNA3138_R6	gene_57
Lhum_RNA38_R0	gene_58
Lhum_RNA39_R1	gene_59
Lhum_RNA44_R8	gene_60
Lhum_RNA8774_R2	gene_61
Sinv_RNA21192_R0	gene_62
Sinv_RNA17019_R3	gene_63
Lhum_RNA1037_R3	gene_64
Lhum_RNA1038_R3	gene_64
Aech_RNA12025_R3	gene_65
Lhum_RNA43_R1	gene_66
Cbir_RNA21944_R7	gene_66
Lhum_RNA44_R0	gene_67
Lhum_RNA45_R0	gene_68
Lhum_RNA781_R8	gene_69
Mpha_RNA4022_R0	gene_70
Sinv_RNA17986_R1	gene_71
Sinv_RNA22203_R2	gene_72
Sinv_RNA21778_R8	gene_73
Lhum_RNA51_R0	gene_74
Lhum_RNA53_R0	gene_74
Lhum_RNA55_R0	gene_75
Lhum_RNA50_R0	gene_76
Lhum_RNA47_R0	gene_76
Lhum_RNA56_R0	gene_77
Lhum_RNA57_R0	gene_78
Lhum_RNA98_R0	gene_79
Sinv_RNA21520_R3	gene_80
Dmel_RNA31359_R0	gene_81
Lhum_RNA101_R0	gene_82
Lhum_RNA103_R0	gene_83
Lhum_RNA102_R0	gene_84
Sinv_RNA10834_R1	gene_85
Lhum_RNA105_R0	gene_86
Nvit_RNA6094_R0	gene_87
Lhum_RNA110_R3	gene_88
Lhum_RNA805_R3	gene_89
Mpha_RNA6752_R1	gene_90
Cbir_RNA18734_R1	gene_91
Mpha_RNA4496_R0	gene_92
Sinv_RNA16931_R3	gene_93
Lhum_RNA4726_R2	gene_94
Sinv_RNA21353_R3	gene_95
Nvit_RNA24676_R6	gene_96
Nvit_RNA26055_R9	gene_97
Lhum_RNA2183_R6	gene_98
Dqua_RNA22381_R3	gene_99
Mpha_RNA8743_R3	gene_100
Lhum_RNA114_R0	gene_101
Lhum_RNA115_R0	gene_102
Sinv_RNA19035_R0	gene_102
Lhum_RNA5104_R1	gene_103
Sinv_RNA18509_R6	gene_104
Mpha_RNA6075_R9	gene_105
Lhum_RNA118_R0	gene_106
Lhum_RNA5747_R1	gene_107
Lhum_RNA120_R0	gene_108
Mpha_RNA5357_R9	gene_109
Aech_RNA107_R0	gene_110
Cbir_RNA16234_R3	gene_111
Mpha_RNA2976_R0	gene_112
Sinv_RNA21925_R2	gene_112
Sinv_RNA11392_R6	gene_113
Aech_RNA637_R8	gene_114
Cbir_RNA25183_R3	gene_115
Lhum_RNA122_R0	gene_116
Lhum_RNA7423_R1	gene_117
Lhum_RNA1762_R9	gene_118
Lhum_RNA123_R0	gene_119
Lhum_RNA124_R0	gene_120
Dqua_RNA9554_R1	gene_121
Lhum_RNA2_R5	gene_122
Lhum_RNA125_R0	gene_123
Lhum_RNA11204_R1	gene_124
Lhum_RNA126_R0	gene_125
Sinv_RNA17717_R7	gene_126
Cbir_RNA6921_R6	gene_127
Mpha_RNA11142_R5	gene_128
Sinv_RNA16045_R7	gene_129
Lhum_RNA133_R0	gene_130
Lhum_RNA134_R0	gene_131
Lhum_RNA135_R0	gene_132
Lhum_RNA139_R0	gene_133
Lhum_RNA130_R0	gene_134
Lhum_RNA132_R0	gene_135
Cbir_RNA18433_R0	gene_135
Aech_RNA12837_R0	gene_136
Lhum_RNA141_R0	gene_137
Lhum_RNA144_R0	gene_138
Cbir_RNA23788_R0	gene_138
Dmel_RNA27395_R0	gene_138
Lhum_RNA147_R0	gene_139
Lhum_RNA150_R0	gene_140
Lhum_RNA151_R0	gene_140
Lhum_RNA149_R0	gene_140
Amel_RNA5360_R0	gene_140
Lhum_RNA153_R0	gene_141
Sinv_RNA19503_R0	gene_141
Lhum_RNA155_R0	gene_142
Dmel_RNA27991_R0	gene_142
Dmel_RNA27990_R0	gene_142
Lhum_RNA161_R0	gene_143
Lhum_RNA142_R0	gene_144
Lhum_RNA148_R0	gene_145
Lhum_RNA152_R0	gene_146
Dqua_RNA12139_R0	gene_146
Lhum_RNA154_R0	gene_147
Lhum_RNA163_R0	gene_148
Aech_RNA12018_R0	gene_149
Lhum_RNA164_R0	gene_150
Mpha_RNA1925_R2	gene_151
Sinv_RNA17852_R6	gene_152
Nvit_RNA5763_R1	gene_153
Lhum_RNA20146_R7	gene_154
Sinv_RNA21671_R5	gene_155
Cbir_RNA16652_R8	gene_156
Sinv_RNA12003_R6	gene_157
Cbir_RNA16652_R3	gene_158
Sinv_RNA14755_R5	gene_159
Mpha_RNA2991_R0	gene_160
Sinv_RNA14901_R1	gene_161
Mpha_RNA19809_R2	gene_162
Lhum_RNA166_R0	gene_163
Cbir_RNA18402_R2	gene_164
Aech_RNA3910_R6	gene_165
Sinv_RNA18926_R1	gene_166
Dqua_RNA8873_R6	gene_167
Dqua_RNA14726_R4	gene_168
Lhum_RNA170_R0	gene_169
Lhum_RNA169_R0	gene_169
Dqua_RNA6754_R0	gene_170
Lhum_RNA18134_R1	gene_171
Lhum_RNA176_R0	gene_172
Lhum_RNA173_R0	gene_173
Aech_RNA4935_R0	gene_174
Mpha_RNA9835_R0	gene_175
Aech_RNA4927_R1	gene_176
Aech_RNA4942_R0	gene_177
Cbir_RNA6478_R1	gene_178
Dqua_RNA23459_R1	gene_179
Amel_RNA13741_R0	gene_180
Lhum_RNA185_R0	gene_180
Dmel_RNA19891_R0	gene_180
Lhum_RNA186_R0	gene_181
Lhum_RNA188_R0	gene_182
Dqua_RNA6750_R0	gene_182
Lhum_RNA189_R0	gene_183
Dqua_RNA6747_R0	gene_184
Lhum_RNA190_R0	gene_185
Mpha_RNA8681_R0	gene_186
Sinv_RNA11356_R1	gene_187
Lhum_RNA655_R1	gene_188
Lhum_RNA194_R0	gene_189
Lhum_RNA657_R8	gene_190
Dqua_RNA17742_R0	gene_190
Lhum_RNA12331_R5	gene_191
Mpha_RNA9927_R0	gene_192
Cbir_RNA6457_R0	gene_193
Cbir_RNA6457_R1	gene_194
Cbir_RNA6452_R9	gene_195
Mpha_RNA9930_R2	gene_196
Sinv_RNA11350_R2	gene_196
Cbir_RNA25331_R1	gene_197
Cbir_RNA25331_R2	gene_198
Dqua_RNA17742_R1	gene_199
Sinv_RNA11350_R3	gene_200
Sinv_RNA11356_R2	gene_201
Cbir_RNA6452_R4	gene_202
Lhum_RNA180_R0	gene_203
Lhum_RNA181_R0	gene_203
Cbir_RNA6473_R0	gene_203
Amel_RNA1583_R0	gene_203
Lhum_RNA187_R0	gene_204
Dmel_RNA17059_R2	gene_205
Sinv_RNA10372_R8	gene_206
Mpha_RNA3829_R1	gene_207
Dmel_RNA14644_R3	gene_208
Lhum_RNA197_R0	gene_209
Lhum_RNA12068_R1	gene_210
Sinv_RNA13644_R4	gene_211
Mpha_RNA11942_R0	gene_212
Dqua_RNA2668_R9	gene_213
Lhum_RNA203_R0	gene_214
Cbir_RNA13483_R0	gene_214
Lhum_RNA8208_R2	gene_215
Lhum_RNA44_R9	gene_216
Sinv_RNA21965_R8	gene_217
Cbir_RNA18_R1	gene_218
Mpha_RNA9296_R1	gene_219
Lhum_RNA8417_R4	gene_220
Aech_RNA7737_R2	gene_221
Cbir_RNA13913_R3	gene_222
Lhum_RNA620_R4	gene_223
Cbir_RNA11283_R5	gene_224
Lhum_RNA579_R9	gene_225
Lhum_RNA295_R7	gene_226
Nvit_RNA25802_R1	gene_227
Aech_RNA5199_R9	gene_228
Cbir_RNA17623_R2	gene_229
Lhum_RNA206_R0	gene_230
Lhum_RNA1044_R1	gene_231
Lhum_RNA4955_R5	gene_232
Lhum_RNA9175_R1	gene_233
Lhum_RNA629_R1	gene_234
Lhum_RNA3464_R8	gene_235
Cbir_RNA12346_R3	gene_236
Lhum_RNA17022_R6	gene_237
Aech_RNA1935_R7	gene_238
Lhum_RNA213_R0	gene_239
Lhum_RNA215_R0	gene_239
Lhum_RNA214_R0	gene_239
Lhum_RNA216_R0	gene_239
Lhum_RNA211_R0	gene_240
Lhum_RNA212_R0	gene_241
Lhum_RNA220_R0	gene_242
Nvit_RNA7897_R0	gene_242
Nvit_RNA7899_R0	gene_242
Lhum_RNA221_R0	gene_243
Nvit_RNA7888_R0	gene_243
Amel_RNA5856_R0	gene_243
Lhum_RNA2505_R3	gene_244
Cbir_RNA19691_R4	gene_245
Cbir_RNA6921_R7	gene_246
Lhum_RNA6138_R1	gene_247
Lhum_RNA6138_R2	gene_248
Lhum_RNA234_R0	gene_249
Cbir_RNA20430_R4	gene_250
Cbir_RNA18126_R3	gene_251
Mpha_RNA893_R1	gene_252
Sinv_RNA9717_R5	gene_253
Lhum_RNA236_R0	gene_254
Sinv_RNA17458_R2	gene_255
Sinv_RNA17019_R0	gene_256
Sinv_RNA22101_R0	gene_257
Lhum_RNA21734_R9	gene_258
Aech_RNA20721_R3	gene_259
Mpha_RNA5179_R0	gene_260
Mpha_RNA6745_R2	gene_261
Lhum_RNA2590_R2	gene_262
Lhum_RNA238_R0	gene_262
Lhum_RNA239_R1	gene_263
Cbir_RNA6_R0	gene_264
Lhum_RNA15594_R1	gene_265
Aech_RNA16623_R1	gene_266
Lhum_RNA242_R0	gene_267
Lhum_RNA243_R0	gene_268
Lhum_RNA251_R0	gene_269
Lhum_RNA256_R0	gene_270
Lhum_RNA262_R0	gene_271
Lhum_RNA248_R0	gene_272
Cbir_RNA13739_R0	gene_272
Aech_RNA9208_R0	gene_272
Dqua_RNA5302_R0	gene_272
Lhum_RNA255_R0	gene_273
Dmel_RNA30846_R2	gene_273
Sinv_RNA21297_R4	gene_273
Cbir_RNA11150_R1	gene_273
Dqua_RNA15863_R2	gene_273
Sinv_RNA19669_R2	gene_273
Lhum_RNA1958_R4	gene_274
Lhum_RNA265_R0	gene_275
Lhum_RNA266_R0	gene_276
Lhum_RNA268_R0	gene_277
Sinv_RNA21951_R4	gene_278
Dqua_RNA22381_R5	gene_279
Lhum_RNA269_R0	gene_280
Sinv_RNA10360_R8	gene_281
Dqua_RNA23482_R4	gene_282
Cbir_RNA23465_R6	gene_283
Lhum_RNA271_R0	gene_284
Lhum_RNA272_R0	gene_285
Sinv_RNA22197_R1	gene_286
Sinv_RNA21943_R9	gene_287
Dmel_RNA14644_R2	gene_288
Cbir_RNA20807_R1	gene_289
Sinv_RNA10383_R0	gene_290
Sinv_RNA21060_R8	gene_291
Lhum_RNA2212_R1	gene_292
Lhum_RNA4894_R4	gene_293
Lhum_RNA276_R0	gene_294
Lhum_RNA120_R6	gene_295
Aech_RNA107_R8	gene_296
Cbir_RNA12346_R8	gene_297
Cbir_RNA25344_R0	gene_298
Lhum_RNA280_R0	gene_299
Lhum_RNA281_R0	gene_299
Mpha_RNA3284_R0	gene_299
Nvit_RNA1777_R0	gene_299
Sinv_RNA20002_R0	gene_299
Nvit_RNA1776_R0	gene_299
Cbir_RNA13705_R0	gene_300
Sinv_RNA17444_R0	gene_301
Lhum_RNA283_R0	gene_301
