SINV_RNA2436_R0	gene_4
LNIG_RNA1_R0	gene_5
SINV_RNA2435_R0	gene_6
LNIG_RNA3_R0	gene_7
LNIG_RNA4_R0	gene_0
LNIG_RNA5_R0	gene_1
SINV_RNA2432_R0	gene_2
LNIG_RNA7_R0	gene_3
LNIG_RNA8_R0	gene_8
LNIG_RNA9_R0	gene_9
LNIG_RNA11_R0	gene_11
LNIG_RNA12_R0	gene_12
AMEL_RNA19913_R9	gene_10
LNIG_RNA13_R0	gene_13
LHUM_RNA18859_R0	gene_14
LNIG_RNA14_R0	gene_15
AECH_RNA21198_R0	gene_16
LNIG_RNA17_R0	gene_17
LNIG_RNA19_R0	gene_18
LNIG_RNA20_R0	gene_19
SINV_RNA1760_R0	gene_20
LNIG_RNA22_R0	gene_21
LNIG_RNA23_R0	gene_22
LNIG_RNA24_R0	gene_23
CBIR_RNA23942_R0	gene_24
LNIG_RNA29_R0	gene_25
LNIG_RNA27_R0	gene_26
LNIG_RNA31_R0	gene_27
LNIG_RNA32_R0	gene_28
LHUM_RNA1661_R0	gene_29
DQUA_RNA14813_R0	gene_31
DQUA_RNA23298_R0	gene_32
LNIG_RNA35_R0	gene_30
MPHA_RNA16236_R0	gene_33
LHUM_RNA17533_R0	gene_36
LNIG_RNA38_R0	gene_34
LNIG_RNA39_R0	gene_35
SINV_RNA12323_R0	gene_41
CBIR_RNA9859_R0	gene_37
LNIG_RNA42_R0	gene_42
LNIG_RNA43_R0	gene_38
LNIG_RNA44_R0	gene_39
AECH_RNA15042_R0	gene_43
LNIG_RNA46_R0	gene_40
LHUM_RNA18213_R0	gene_44
CBIR_RNA16805_R0	gene_45
LNIG_RNA49_R0	gene_47
LNIG_RNA65_R0	gene_46
LNIG_RNA52_R0	gene_48
LNIG_RNA61_R0	gene_49
MPHA_RNA8085_R0	gene_50
LHUM_RNA17939_R0	gene_51
LHUM_RNA17940_R0	gene_52
CBIR_RNA611_R0	gene_53
LHUM_RNA17967_R0	gene_54
LHUM_RNA17968_R0	gene_55
LNIG_RNA68_R0	gene_56
LNIG_RNA69_R0	gene_57
AECH_RNA2529_R0	gene_58
AECH_RNA20179_R0	gene_59
MPHA_RNA7090_R0	gene_60
MPHA_RNA7094_R0	gene_61
LNIG_RNA73_R0	gene_65
CBIR_RNA1006_R1	gene_66
SINV_RNA6066_R1	gene_67
LNIG_RNA74_R0	gene_63
AECH_RNA14741_R0	gene_62
LNIG_RNA77_R0	gene_64
LNIG_RNA78_R0	gene_68
LNIG_RNA79_R0	gene_69
DQUA_RNA481_R0	gene_70
LNIG_RNA81_R0	gene_71
MPHA_RNA3965_R0	gene_72
LNIG_RNA82_R0	gene_73
CBIR_RNA7858_R0	gene_74
AECH_RNA20346_R0	gene_75
MPHA_RNA19002_R0	gene_76
LNIG_RNA88_R0	gene_77
LNIG_RNA89_R0	gene_78
DMEL_RNA9735_R2	gene_79
LNIG_RNA90_R0	gene_80
LNIG_RNA91_R0	gene_83
LNIG_RNA92_R0	gene_81
LNIG_RNA93_R0	gene_82
LNIG_RNA94_R0	gene_84
CBIR_RNA3475_R0	gene_92
CBIR_RNA3473_R0	gene_93
LNIG_RNA100_R0	gene_94
LNIG_RNA101_R0	gene_85
LNIG_RNA102_R0	gene_86
LNIG_RNA103_R0	gene_95
LHUM_RNA20509_R0	gene_96
LHUM_RNA20508_R0	gene_87
LNIG_RNA106_R0	gene_97
LHUM_RNA20506_R0	gene_88
LNIG_RNA108_R0	gene_98
LNIG_RNA109_R0	gene_99
