Mpha_RNA1086_R9	gene_0
Mpha_RNA1_R0	gene_1
Mpha_RNA0_R0	gene_1
Lhum_RNA574_R0	gene_2
Mpha_RNA5_R0	gene_3
Mpha_RNA10_R0	gene_4
Aech_RNA15280_R0	gene_4
Mpha_RNA12_R0	gene_5
Aech_RNA15284_R0	gene_5
Mpha_RNA2_R0	gene_6
Mpha_RNA17297_R1	gene_6
Mpha_RNA3_R0	gene_7
Mpha_RNA8_R0	gene_8
Dmel_RNA8585_R0	gene_8
Mpha_RNA9_R0	gene_9
Mpha_RNA14_R0	gene_10
Mpha_RNA910_R1	gene_11
Mpha_RNA15_R0	gene_12
Sinv_RNA10750_R1	gene_13
Mpha_RNA16_R0	gene_14
Cbir_RNA9720_R0	gene_15
Sinv_RNA11768_R1	gene_16
Mpha_RNA1970_R3	gene_17
Nvit_RNA11446_R8	gene_18
Sinv_RNA18954_R0	gene_19
Mpha_RNA12304_R3	gene_20
Sinv_RNA20288_R5	gene_21
Lhum_RNA4093_R1	gene_22
Dqua_RNA14709_R4	gene_23
Mpha_RNA23_R0	gene_24
Mpha_RNA24_R0	gene_25
Aech_RNA6162_R0	gene_26
Mpha_RNA29_R0	gene_27
Sinv_RNA5688_R7	gene_28
Mpha_RNA31_R0	gene_29
Cbir_RNA16121_R0	gene_29
Mpha_RNA32_R0	gene_30
Cbir_RNA16119_R0	gene_30
Cbir_RNA19727_R3	gene_31
Mpha_RNA33_R0	gene_32
Cbir_RNA24810_R0	gene_32
Mpha_RNA38_R0	gene_33
Sinv_RNA21118_R4	gene_34
Mpha_RNA40_R0	gene_35
Mpha_RNA1189_R7	gene_36
Mpha_RNA39_R0	gene_37
Mpha_RNA42_R0	gene_38
Mpha_RNA44_R0	gene_39
Mpha_RNA46_R0	gene_40
Dmel_RNA22349_R0	gene_40
Mpha_RNA45_R0	gene_41
Dqua_RNA3179_R2	gene_42
Mpha_RNA48_R0	gene_43
Mpha_RNA49_R0	gene_44
Mpha_RNA52_R0	gene_45
Mpha_RNA53_R0	gene_46
Dmel_RNA33341_R0	gene_46
Sinv_RNA1439_R0	gene_46
Amel_RNA22465_R2	gene_47
Lhum_RNA1041_R1	gene_48
Mpha_RNA56_R0	gene_49
Mpha_RNA57_R0	gene_49
Mpha_RNA60_R0	gene_50
Mpha_RNA61_R0	gene_51
Sinv_RNA21815_R9	gene_52
Sinv_RNA19590_R0	gene_53
Dqua_RNA3998_R9	gene_54
Mpha_RNA62_R0	gene_55
Mpha_RNA64_R0	gene_56
Mpha_RNA3825_R1	gene_56
Aech_RNA12323_R0	gene_56
Mpha_RNA72_R0	gene_57
Mpha_RNA68_R0	gene_57
Mpha_RNA74_R0	gene_58
Mpha_RNA75_R0	gene_58
Cbir_RNA16315_R0	gene_58
Mpha_RNA76_R0	gene_59
Mpha_RNA89_R0	gene_60
Mpha_RNA90_R0	gene_60
Mpha_RNA82_R0	gene_61
Mpha_RNA84_R0	gene_61
Mpha_RNA88_R0	gene_62
Dqua_RNA14726_R4	gene_63
Mpha_RNA91_R0	gene_64
Mpha_RNA93_R0	gene_65
Amel_RNA28462_R6	gene_65
Sinv_RNA16452_R1	gene_65
Mpha_RNA102_R0	gene_66
Aech_RNA10053_R7	gene_67
Cbir_RNA22748_R1	gene_68
Mpha_RNA104_R0	gene_69
Mpha_RNA103_R0	gene_69
Cbir_RNA22055_R0	gene_69
Nvit_RNA25031_R0	gene_69
Mpha_RNA107_R0	gene_70
Mpha_RNA105_R0	gene_71
Mpha_RNA106_R0	gene_72
Mpha_RNA108_R0	gene_73
Mpha_RNA109_R0	gene_74
Dmel_RNA34321_R0	gene_74
Mpha_RNA110_R0	gene_75
Mpha_RNA111_R0	gene_76
Cbir_RNA20252_R2	gene_77
Dqua_RNA23436_R6	gene_78
Sinv_RNA6942_R0	gene_79
Mpha_RNA117_R0	gene_80
Aech_RNA12848_R0	gene_80
Dqua_RNA4173_R0	gene_80
Mpha_RNA2706_R1	gene_81
Mpha_RNA129_R0	gene_82
Nvit_RNA25499_R0	gene_83
Mpha_RNA130_R0	gene_84
Sinv_RNA12006_R0	gene_84
Sinv_RNA19454_R0	gene_85
Mpha_RNA134_R0	gene_86
Amel_RNA15572_R1	gene_86
Mpha_RNA132_R0	gene_87
Dqua_RNA10714_R0	gene_88
Mpha_RNA137_R0	gene_89
Mpha_RNA139_R0	gene_90
Mpha_RNA142_R0	gene_91
Mpha_RNA146_R0	gene_92
Sinv_RNA18911_R0	gene_92
Mpha_RNA145_R0	gene_93
Mpha_RNA148_R0	gene_94
Mpha_RNA147_R0	gene_94
Sinv_RNA5792_R1	gene_95
Aech_RNA17384_R3	gene_96
Sinv_RNA17988_R6	gene_97
Sinv_RNA22205_R2	gene_98
Sinv_RNA5429_R0	gene_99
Nvit_RNA20485_R1	gene_99
Nvit_RNA20486_R1	gene_99
Sinv_RNA13840_R0	gene_100
Sinv_RNA18366_R0	gene_100
Mpha_RNA150_R0	gene_101
Amel_RNA14658_R2	gene_101
Mpha_RNA151_R0	gene_102
Lhum_RNA674_R0	gene_103
Sinv_RNA21148_R0	gene_104
Sinv_RNA20369_R0	gene_105
Aech_RNA19189_R0	gene_106
Mpha_RNA153_R0	gene_107
Mpha_RNA156_R0	gene_108
Mpha_RNA6751_R1	gene_109
Lhum_RNA8207_R0	gene_110
Aech_RNA4961_R4	gene_111
Sinv_RNA11367_R1	gene_112
Cbir_RNA7709_R1	gene_113
Dqua_RNA5074_R0	gene_114
Sinv_RNA17720_R0	gene_115
Mpha_RNA170_R0	gene_116
Mpha_RNA169_R0	gene_116
Dqua_RNA7880_R0	gene_116
Mpha_RNA173_R0	gene_117
Mpha_RNA178_R0	gene_118
Nvit_RNA25980_R0	gene_118
Mpha_RNA182_R0	gene_119
Dmel_RNA32486_R0	gene_119
Mpha_RNA187_R0	gene_120
Mpha_RNA188_R0	gene_121
Mpha_RNA160_R0	gene_122
Mpha_RNA165_R0	gene_123
Mpha_RNA166_R0	gene_124
Mpha_RNA167_R0	gene_124
Cbir_RNA14639_R0	gene_124
Nvit_RNA24945_R0	gene_124
Dmel_RNA33154_R0	gene_124
Mpha_RNA168_R0	gene_125
Nvit_RNA24949_R0	gene_125
Nvit_RNA24951_R0	gene_125
Mpha_RNA172_R0	gene_126
Mpha_RNA174_R0	gene_127
Sinv_RNA4079_R0	gene_127
Aech_RNA3506_R0	gene_127
Sinv_RNA4080_R0	gene_128
Mpha_RNA175_R0	gene_128
Mpha_RNA176_R0	gene_129
Mpha_RNA177_R0	gene_129
Dqua_RNA7885_R0	gene_129
Mpha_RNA179_R0	gene_130
Mpha_RNA181_R0	gene_131
Mpha_RNA180_R0	gene_131
Mpha_RNA184_R0	gene_132
Mpha_RNA183_R0	gene_133
Mpha_RNA191_R0	gene_134
Cbir_RNA15737_R0	gene_134
Mpha_RNA193_R0	gene_135
Mpha_RNA194_R0	gene_136
Mpha_RNA197_R0	gene_137
Mpha_RNA196_R0	gene_138
Lhum_RNA7469_R8	gene_139
Sinv_RNA18321_R7	gene_140
Mpha_RNA1581_R2	gene_141
Sinv_RNA15179_R0	gene_142
Mpha_RNA204_R0	gene_143
Mpha_RNA18032_R4	gene_144
Nvit_RNA16059_R0	gene_145
Aech_RNA18578_R1	gene_146
Cbir_RNA17052_R3	gene_147
Mpha_RNA1003_R1	gene_148
Mpha_RNA1003_R2	gene_149
Mpha_RNA206_R0	gene_150
Dqua_RNA11234_R0	gene_150
Cbir_RNA18329_R1	gene_150
Cbir_RNA18330_R1	gene_150
Dmel_RNA21243_R1	gene_150
Amel_RNA27443_R0	gene_150
Mpha_RNA207_R0	gene_151
Mpha_RNA210_R0	gene_152
Nvit_RNA26129_R5	gene_153
Mpha_RNA211_R0	gene_154
Mpha_RNA212_R7	gene_155
Mpha_RNA11739_R1	gene_156
Sinv_RNA20538_R0	gene_157
Aech_RNA18790_R0	gene_158
Mpha_RNA213_R0	gene_159
Sinv_RNA20536_R0	gene_160
Mpha_RNA218_R0	gene_161
Dmel_RNA12765_R0	gene_161
Mpha_RNA224_R0	gene_162
Mpha_RNA225_R0	gene_163
Aech_RNA18033_R0	gene_163
Dqua_RNA12692_R0	gene_163
Mpha_RNA222_R0	gene_164
Mpha_RNA221_R0	gene_164
Mpha_RNA223_R0	gene_164
